rank,day_of_year,month_day,count
271,116,Apr 26,7
272,251,Sep 8,7
273,282,Oct 9,7
274,347,Dec 13,7
275,308,Nov 4,6
276,70,Mar 11,6
277,205,Jul 24,6
278,196,Jul 15,6
279,226,Aug 14,6
280,341,Dec 7,6
281,81,Mar 22,6
282,261,Sep 18,6
283,31,Jan 31,6
284,72,Mar 13,6
285,313,Nov 9,6
286,178,Jun 27,6
287,345,Dec 11,6
288,335,Dec 1,6
289,11,Jan 11,6
290,357,Dec 23,6
291,13,Jan 13,6
292,54,Feb 23,6
293,150,May 30,6
294,109,Apr 19,6
295,310,Nov 6,6
296,332,Nov 28,6
297,292,Oct 19,6
298,325,Nov 21,6
299,75,Mar 16,6
300,23,Jan 23,6
301,66,Mar 7,6
302,222,Aug 10,6
303,340,Dec 6,6
304,288,Oct 15,6
305,144,May 24,6
306,42,Feb 11,6
307,177,Jun 26,6
308,107,Apr 17,6
309,161,Jun 10,6
310,37,Feb 6,6
311,260,Sep 17,6
312,293,Oct 20,6
313,47,Feb 16,6
314,331,Nov 27,5
315,94,Apr 4,5
316,33,Feb 2,5
317,4,Jan 4,5
318,254,Sep 11,5
319,15,Jan 15,5
320,354,Dec 20,5
321,305,Nov 1,5
322,329,Nov 25,5
323,351,Dec 17,5
324,266,Sep 23,5
325,362,Dec 28,5
326,10,Jan 10,5
327,301,Oct 28,5
328,316,Nov 12,5
329,16,Jan 16,5
330,322,Nov 18,5
331,315,Nov 11,5
332,1,Jan 1,5
333,29,Jan 29,4
334,183,Jul 2,4
335,298,Oct 25,4
336,48,Feb 17,4
337,320,Nov 16,4
338,309,Nov 5,4
339,122,May 2,4
340,248,Sep 5,4
341,353,Dec 19,4
342,44,Feb 13,4
343,38,Feb 7,4
344,287,Oct 14,4
345,19,Jan 19,4
346,283,Oct 10,4
347,5,Jan 5,4
348,200,Jul 19,4
349,337,Dec 3,4
350,297,Oct 24,4
351,279,Oct 6,4
352,229,Aug 17,4
353,294,Oct 21,4
354,233,Aug 21,4
355,76,Mar 17,3
356,348,Dec 14,3
357,26,Jan 26,3
358,276,Oct 3,3
359,244,Sep 1,3
360,7,Jan 7,3
361,211,Jul 30,3
362,344,Dec 10,3
363,359,Dec 25,2
364,304,Oct 31,2
365,326,Nov 22,2
