year,date,saros,type,ge_sun_alt,ge_lat,ge_lon,sunset_min_alt,sunset_max_dur_s,sunset_entry_lat,sunset_entry_lon,sunset_end_lat,sunset_end_lon,sunrise_min_alt,sunrise_max_dur_s,sunrise_entry_lat,sunrise_entry_lon,sunrise_end_lat,sunrise_end_lon
-1937,-1937-08-14,14,T,84.7,14.78,108.68,3.9,149.9,-18.69,154.66,-21.93,161.98,4.9,154.8,17.17,52.94,14.97,46.15
-1936,-1936-08-03,24,T,36.5,-29.79,-153.44,3.2,171.5,-57.78,-112.67,-57.78,-112.67,3.8,187.9,-31.05,172.24,-33.22,166.45
-1934,-1934-12-07,11,T,79.8,-10.45,60.46,4.5,118.2,-0.74,111.83,1.80,118.49,4.3,118.2,11.53,11.66,14.43,4.82
-1933,-1933-11-27,21,T,30.9,40.15,-160.55,2.5,54.2,42.28,-125.28,44.51,-118.18,2.3,41.8,61.69,154.28,61.69,154.28
-1931,-1931-04-12,-2,T,44.0,44.81,-40.58,4.7,163.6,64.38,42.89,64.38,42.89,3.8,183.3,28.69,-82.11,27.81,-90.77
-1930,-1930-04-01,8,Tm,88.6,-3.65,83.63,5.0,213.8,15.90,134.51,16.56,141.65,4.2,211.8,-19.77,30.35,-19.81,22.52
-1929,-1929-03-22,18,T,38.1,-54.53,-127.00,2.8,82.9,-36.15,-85.67,-34.46,-76.50,3.7,68.1,-69.50,128.94,-69.50,128.94
-1927,-1927-07-25,5,T,58.3,-8.58,-137.34,2.4,162.4,-24.86,-93.42,-28.49,-85.60,3.4,156.8,-24.33,177.73,-27.05,171.83
-1922,-1922-05-02,17,T,58.4,36.65,-152.78,2.4,141.7,59.65,-62.66,58.86,-56.64,3.5,159.5,6.58,168.69,4.27,160.04
-1920,-1920-03-12,-1,T,54.9,-39.93,-114.35,1.3,23.3,-10.34,-77.75,-7.45,-66.90,3.8,8.0,-62.41,147.07,-62.41,147.07
-1919,-1919-08-25,14,T,86.8,13.91,-14.51,4.5,140.5,-21.35,32.38,-23.66,38.36,2.5,145.8,21.97,-71.96,19.63,-80.76
-1918,-1918-08-14,24,T,40.4,-27.31,83.08,2.1,148.5,-60.31,128.53,-60.31,128.53,1.9,167.9,-24.86,47.76,-27.53,39.39
-1917,-1917-12-29,1,T,58.8,-54.84,154.89,4.9,24.1,-30.96,-137.14,-28.52,-132.17,3.7,27.0,-34.72,80.58,-31.92,74.70
-1916,-1916-12-18,11,T,80.0,-12.63,-73.06,0.9,125.9,2.38,-22.88,6.84,-12.61,3.3,124.3,6.95,-122.92,10.26,-130.26
-1915,-1915-12-07,21,T,30.7,38.16,62.38,3.8,48.3,44.68,98.66,46.12,102.27,2.6,42.5,55.60,23.25,57.07,20.34
-1913,-1913-04-23,-2,T,37.9,54.30,-159.85,3.5,167.2,69.77,-55.55,69.77,-55.55,1.8,185.9,36.15,158.56,34.39,148.27
-1912,-1912-04-12,8,T,87.5,4.34,-33.36,1.7,218.5,20.77,19.44,20.82,30.64,3.4,217.6,-14.86,-83.43,-15.65,-92.80
-1911,-1911-04-01,18,T,43.6,-45.55,114.37,3.9,84.3,-29.23,155.48,-28.32,163.85,1.5,68.8,-64.83,30.64,-64.73,22.91
-1909,-1909-08-05,5,T,54.8,-13.48,101.68,3.6,140.6,-32.63,146.16,-35.33,152.20,2.7,140.2,-23.82,58.27,-26.90,50.79
-1904,-1904-05-12,17,T,63.4,36.56,99.25,4.0,151.7,52.63,-173.74,51.85,-169.78,1.5,167.5,4.19,58.33,0.87,47.93
-1902,-1902-03-23,-1,T,50.2,-39.38,136.04,1.6,21.1,-13.09,169.82,-10.83,-178.96,1.9,3.2,-68.50,34.04,-68.50,34.04
-1901,-1901-09-05,14,T,88.5,11.97,-140.18,4.6,134.0,-23.46,-93.02,-25.42,-86.88,2.4,138.6,25.93,162.31,24.12,152.91
-1900,-1900-08-25,24,T,43.4,-26.38,-42.15,,,,,,,1.0,148.2,-19.78,-77.55,-22.32,-87.71
-1898,-1898-01-08,1,T,58.0,-55.50,32.14,4.1,42.0,-27.63,93.39,-24.39,99.72,3.9,43.7,-39.94,-49.88,-37.09,-55.93
-1898,-1898-12-29,11,T,80.5,-14.21,154.83,5.3,133.3,5.96,-155.87,8.89,-149.76,5.5,133.8,1.67,104.41,4.45,98.42
-1897,-1897-12-19,21,T,30.8,36.46,-73.94,4.0,44.4,47.39,-37.21,48.33,-35.26,2.3,40.2,51.29,-111.87,52.78,-114.71
-1895,-1895-05-03,-2,T,30.7,64.41,77.32,1.1,165.7,73.21,-141.39,73.21,-141.39,3.8,185.8,45.10,37.32,43.16,30.06
-1894,-1894-04-23,8,T,83.4,12.49,-149.23,3.8,216.0,25.05,-92.51,24.47,-84.11,2.2,216.0,-9.13,161.80,-10.70,151.74
-1893,-1893-04-13,18,T,48.8,-36.69,-1.73,4.6,82.8,-22.97,39.41,-22.74,47.38,1.7,65.7,-58.85,-73.04,-59.25,-79.41
-1891,-1891-08-16,5,T,51.7,-18.64,-21.58,3.2,115.7,-40.40,25.14,-42.50,30.30,4.4,119.8,-23.95,-63.98,-26.12,-70.27
-1889,-1889-01-29,20,T,34.6,-76.68,-101.41,2.8,19.3,-50.58,-26.91,-47.73,-21.14,1.4,19.9,-57.19,143.56,-54.23,137.53
-1886,-1886-05-23,17,T,68.4,36.12,-8.36,3.6,162.1,45.55,72.68,43.94,78.78,4.9,173.9,2.59,-51.66,-0.23,-58.71
-1883,-1883-09-15,14,T,89.8,9.18,91.90,2.8,129.2,-25.11,139.15,-27.28,148.23,3.2,132.0,28.77,35.58,27.77,26.45
-1882,-1882-09-05,24,T,45.6,-26.80,-169.21,,,,,,,2.9,129.4,-15.94,156.02,-17.46,146.49
-1880,-1880-01-20,1,T,56.8,-55.29,-88.94,3.0,60.4,-24.73,-34.44,-20.72,-26.53,4.7,59.4,-45.03,-179.82,-43.08,175.80
-1879,-1879-01-08,11,T,81.3,-15.23,24.46,2.7,140.0,9.85,73.31,13.64,81.02,3.5,140.8,-3.21,-28.05,-0.00,-35.20
-1879,-1879-12-29,21,T,31.6,34.66,151.71,3.8,43.7,49.64,-171.93,50.77,-169.90,2.9,42.5,45.67,116.25,47.70,112.26
-1877,-1877-05-15,-2,T,21.2,74.53,-60.52,,,,,,,3.3,179.0,55.38,-90.91,53.68,-95.65
-1876,-1876-05-03,8,T,79.0,20.69,95.99,3.6,211.9,28.63,156.47,27.36,165.07,1.1,214.3,-2.34,48.23,-5.02,36.55
-1875,-1875-04-23,18,T,54.2,-27.82,-115.07,1.6,78.3,-17.24,-73.50,-17.99,-62.12,4.9,62.6,-51.49,-175.40,-51.98,-178.53
-1873,-1873-08-27,5,T,49.0,-23.92,-147.14,3.1,93.3,-47.00,-98.64,-49.01,-92.94,1.5,97.3,-24.50,171.22,-27.13,161.64
-1871,-1871-02-08,20,T,37.9,-70.29,141.13,1.9,40.8,-44.82,-157.62,-41.46,-149.75,2.1,38.5,-57.97,24.09,-56.41,20.26
-1868,-1868-06-03,17,T,73.0,35.26,-116.86,5.1,169.1,38.10,-41.16,36.60,-36.55,4.0,178.8,1.80,-162.59,-1.59,-170.27
-1865,-1865-09-27,14,T,89.4,5.63,-38.58,4.5,124.5,-26.62,9.64,-27.99,17.64,4.2,126.4,30.21,-92.66,30.04,-101.20
-1864,-1864-09-15,24,T,47.3,-28.41,61.84,2.6,90.6,-67.44,123.41,-67.44,123.41,4.5,107.4,-13.52,26.55,-14.07,18.89
-1862,-1862-01-30,1,T,55.0,-54.37,151.51,2.9,78.5,-22.12,-159.60,-18.33,-151.76,3.9,73.9,-49.90,50.65,-48.65,47.57
-1861,-1861-01-20,11,T,82.4,-15.68,-104.14,4.4,149.9,13.07,-56.79,16.42,-50.05,2.0,152.0,-8.80,-157.44,-4.82,-166.93
