lat,lon,sun_alt,totality_secs,magnitude,ut_max_utc,sunset_utc,min_to_sunset,sunset_eclipse
42.25,-3.25,7.8,101.7,1.0330,18:29:16,19:17:53,48.6,True
42.25,-3.00,7.6,99.0,1.0329,18:29:12,19:16:53,47.7,True
42.25,-2.75,7.5,95.7,1.0329,18:29:09,19:15:53,46.7,True
42.25,-2.50,7.3,91.7,1.0328,18:29:06,19:14:53,45.8,True
42.25,-2.25,7.1,86.9,1.0328,18:29:02,19:13:53,44.8,True
42.25,-2.00,7.0,81.2,1.0327,18:28:59,19:12:53,43.9,True
42.25,-1.75,6.8,74.4,1.0327,18:28:56,19:11:53,43.0,True
42.25,-1.50,6.6,66.2,1.0326,18:28:52,19:10:54,42.0,True
42.25,-1.25,6.4,56.0,1.0326,18:28:48,19:09:54,41.1,True
42.25,-1.00,6.3,42.6,1.0325,18:28:45,19:08:54,40.1,True
42.25,-0.75,6.1,20.0,1.0325,18:28:41,19:07:54,39.2,True
42.00,-6.25,9.8,58.3,1.0336,18:30:14,19:29:22,59.1,True
42.00,-6.00,9.6,69.9,1.0335,18:30:11,19:28:22,58.2,True
42.00,-5.75,9.4,78.8,1.0335,18:30:09,19:27:22,57.2,True
42.00,-5.50,9.2,85.7,1.0334,18:30:06,19:26:22,56.3,True
42.00,-5.25,9.1,91.3,1.0334,18:30:03,19:25:22,55.3,True
42.00,-5.00,8.9,95.7,1.0333,18:30:01,19:24:22,54.4,True
42.00,-4.75,8.7,99.1,1.0333,18:29:58,19:23:22,53.4,True
42.00,-4.50,8.5,101.7,1.0332,18:29:55,19:22:22,52.5,True
42.00,-4.25,8.4,103.6,1.0332,18:29:52,19:21:22,51.5,True
42.00,-4.00,8.2,104.7,1.0331,18:29:49,19:20:22,50.6,True
42.00,-3.75,8.0,105.2,1.0331,18:29:46,19:19:22,49.6,True
42.00,-3.50,7.8,105.1,1.0330,18:29:43,19:18:22,48.7,True
42.00,-3.25,7.7,104.3,1.0329,18:29:40,19:17:22,47.7,True
42.00,-3.00,7.5,103.0,1.0329,18:29:37,19:16:22,46.8,True
42.00,-2.75,7.3,101.1,1.0328,18:29:33,19:15:23,45.8,True
42.00,-2.50,7.2,98.6,1.0328,18:29:30,19:14:23,44.9,True
42.00,-2.25,7.0,95.4,1.0327,18:29:27,19:13:23,43.9,True
42.00,-2.00,6.8,91.6,1.0327,18:29:23,19:12:23,43.0,True
42.00,-1.75,6.6,87.0,1.0326,18:29:19,19:11:23,42.1,True
42.00,-1.50,6.5,81.6,1.0326,18:29:16,19:10:23,41.1,True
42.00,-1.25,6.3,75.1,1.0325,18:29:12,19:09:23,40.2,True
42.00,-1.00,6.1,67.4,1.0325,18:29:08,19:08:23,39.2,True
42.00,-0.75,6.0,57.9,1.0324,18:29:05,19:07:23,38.3,True
42.00,-0.50,5.8,45.7,1.0324,18:29:01,19:06:23,37.4,True
42.00,-0.25,5.6,27.3,1.0323,18:28:57,19:05:23,36.4,True
41.75,-6.25,9.6,4.3,1.0335,18:30:38,19:28:51,58.2,True
41.75,-6.00,9.5,42.5,1.0335,18:30:36,19:27:51,57.3,True
41.75,-5.75,9.3,58.5,1.0334,18:30:33,19:26:51,56.3,True
41.75,-5.50,9.1,69.8,1.0334,18:30:31,19:25:51,55.3,True
41.75,-5.25,8.9,78.4,1.0333,18:30:28,19:24:52,54.4,True
41.75,-5.00,8.8,85.2,1.0333,18:30:25,19:23:52,53.4,True
41.75,-4.75,8.6,90.6,1.0332,18:30:22,19:22:52,52.5,True
41.75,-4.50,8.4,94.9,1.0332,18:30:19,19:21:52,51.5,True
41.75,-4.25,8.2,98.3,1.0331,18:30:16,19:20:52,50.6,True
41.75,-4.00,8.1,100.9,1.0331,18:30:13,19:19:52,49.6,True
41.75,-3.75,7.9,102.7,1.0330,18:30:10,19:18:52,48.7,True
41.75,-3.50,7.7,103.9,1.0330,18:30:07,19:17:52,47.7,True
41.75,-3.25,7.5,104.4,1.0329,18:30:04,19:16:52,46.8,True
41.75,-3.00,7.4,104.3,1.0329,18:30:01,19:15:52,45.9,True
41.75,-2.75,7.2,103.7,1.0328,18:29:57,19:14:52,44.9,True
41.75,-2.50,7.0,102.4,1.0327,18:29:54,19:13:52,44.0,True
41.75,-2.25,6.9,100.6,1.0327,18:29:50,19:12:52,43.0,True
41.75,-2.00,6.7,98.3,1.0326,18:29:47,19:11:52,42.1,True
41.75,-1.75,6.5,95.3,1.0326,18:29:43,19:10:52,41.1,True
41.75,-1.50,6.3,91.7,1.0325,18:29:40,19:09:52,40.2,True
41.75,-1.25,6.2,87.3,1.0325,18:29:36,19:08:52,39.3,True
41.75,-1.00,6.0,82.2,1.0324,18:29:32,19:07:53,38.3,True
41.75,-0.75,5.8,76.2,1.0324,18:29:28,19:06:53,37.4,True
41.75,-0.50,5.7,69.1,1.0323,18:29:25,19:05:53,36.5,True
41.75,-0.25,5.5,60.4,1.0323,18:29:21,19:04:53,35.5,True
41.75,0.00,5.3,49.5,1.0322,18:29:17,19:03:53,34.6,True
41.75,0.25,5.2,34.2,1.0322,18:29:12,19:02:53,33.7,True
41.50,-5.75,9.2,7.1,1.0334,18:30:58,19:26:21,55.4,True
41.50,-5.50,9.0,42.3,1.0333,18:30:55,19:25:21,54.4,True
41.50,-5.25,8.8,58.0,1.0333,18:30:52,19:24:21,53.5,True
41.50,-5.00,8.6,69.0,1.0332,18:30:50,19:23:21,52.5,True
41.50,-4.75,8.5,77.5,1.0332,18:30:47,19:22:21,51.6,True
41.50,-4.50,8.3,84.2,1.0331,18:30:44,19:21:22,50.6,True
41.50,-4.25,8.1,89.6,1.0331,18:30:41,19:20:22,49.7,True
41.50,-4.00,7.9,93.9,1.0330,18:30:38,19:19:22,48.7,True
41.50,-3.75,7.8,97.3,1.0330,18:30:35,19:18:22,47.8,True
41.50,-3.50,7.6,99.8,1.0329,18:30:31,19:17:22,46.8,True
41.50,-3.25,7.4,101.7,1.0329,18:30:28,19:16:22,45.9,True
41.50,-3.00,7.2,102.9,1.0328,18:30:25,19:15:22,45.0,True
41.50,-2.75,7.1,103.5,1.0328,18:30:21,19:14:22,44.0,True
41.50,-2.50,6.9,103.5,1.0327,18:30:18,19:13:22,43.1,True
41.50,-2.25,6.7,103.0,1.0327,18:30:14,19:12:22,42.1,True
41.50,-2.00,6.6,101.9,1.0326,18:30:11,19:11:22,41.2,True
41.50,-1.75,6.4,100.3,1.0325,18:30:07,19:10:22,40.3,True
41.50,-1.50,6.2,98.1,1.0325,18:30:03,19:09:22,39.3,True
41.50,-1.25,6.0,95.3,1.0324,18:30:00,19:08:22,38.4,True
41.50,-1.00,5.9,92.0,1.0324,18:29:56,19:07:22,37.4,True
41.50,-0.75,5.7,88.0,1.0323,18:29:52,19:06:22,36.5,True
41.50,-0.50,5.5,83.2,1.0323,18:29:48,19:05:22,35.6,True
41.50,-0.25,5.4,77.7,1.0322,18:29:44,19:04:23,34.6,True
41.50,0.00,5.2,71.1,1.0322,18:29:40,19:03:23,33.7,True
41.50,0.25,5.0,63.2,1.0321,18:29:36,19:02:23,32.8,True
41.50,0.50,4.9,53.6,1.0321,18:29:32,19:01:23,31.9,True
41.50,0.75,4.7,40.9,1.0320,18:29:27,19:00:23,30.9,True
41.50,1.00,4.5,20.1,1.0320,18:29:23,18:59:23,30.0,True
41.25,-5.00,8.5,40.9,1.0332,18:31:14,19:22:52,51.6,True
41.25,-4.75,8.3,56.6,1.0331,18:31:11,19:21:52,50.7,True
41.25,-4.50,8.2,67.7,1.0331,18:31:08,19:20:52,49.7,True
41.25,-4.25,8.0,76.2,1.0330,18:31:05,19:19:52,48.8,True
41.25,-4.00,7.8,82.9,1.0330,18:31:02,19:18:52,47.8,True
41.25,-3.75,7.6,88.3,1.0329,18:30:59,19:17:52,46.9,True
41.25,-3.50,7.5,92.6,1.0329,18:30:55,19:16:52,45.9,True
41.25,-3.25,7.3,96.0,1.0328,18:30:52,19:15:52,45.0,True
41.25,-3.00,7.1,98.7,1.0328,18:30:49,19:14:52,44.1,True
41.25,-2.75,6.9,100.6,1.0327,18:30:45,19:13:52,43.1,True
41.25,-2.50,6.8,101.9,1.0327,18:30:42,19:12:52,42.2,True
41.25,-2.25,6.6,102.6,1.0326,18:30:38,19:11:52,41.2,True
41.25,-2.00,6.4,102.7,1.0326,18:30:35,19:10:52,40.3,True
41.25,-1.75,6.2,102.3,1.0325,18:30:31,19:09:52,39.4,True
41.25,-1.50,6.1,101.4,1.0324,18:30:27,19:08:52,38.4,True
41.25,-1.25,5.9,100.0,1.0324,18:30:23,19:07:52,37.5,True
41.25,-1.00,5.7,98.0,1.0323,18:30:19,19:06:52,36.5,True
41.25,-0.75,5.6,95.5,1.0323,18:30:16,19:05:53,35.6,True
41.25,-0.50,5.4,92.4,1.0322,18:30:12,19:04:53,34.7,True
41.25,-0.25,5.2,88.8,1.0322,18:30:08,19:03:53,33.8,True
41.25,0.00,5.1,84.4,1.0321,18:30:03,19:02:53,32.8,True
41.25,0.25,4.9,79.4,1.0321,18:29:59,19:01:53,31.9,True
41.25,0.50,4.7,73.4,1.0320,18:29:55,19:00:53,31.0,True
41.25,0.75,4.6,66.4,1.0320,18:29:51,18:59:53,30.0,True
41.25,1.00,4.4,57.9,1.0319,18:29:46,18:58:53,29.1,True
41.25,1.25,4.2,47.2,1.0319,18:29:42,18:57:53,28.2,True
41.25,1.50,4.0,32.3,1.0318,18:29:38,18:56:53,27.3,True
41.00,-4.50,8.0,38.2,1.0330,18:31:32,19:20:22,48.8,True
41.00,-4.25,7.8,54.5,1.0330,18:31:29,19:19:22,47.9,True
41.00,-4.00,7.7,65.7,1.0329,18:31:26,19:18:22,46.9,True
