date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1494-05-10,Partial,,,61.6N,132.4W,61.57688000,-132.39740000,43,1.46878000,.13418000,.00000000
-1494-10-04,Partial,,,60.6N,139.5E,60.62821000,139.53143000,10,1.10397000,.80872000,.00000000
-1493-03-31,Annular,00:05:27,327,25.3S,99.6E,-25.32563000,99.57178000,15,-.46318000,.94785000,213.00000000
-1493-09-24,Total,00:04:03,243,26.2N,171.5W,26.18365000,-171.50580000,20,.41108000,1.05218000,188.10000000
-1492-03-19,Annular,00:05:54,354,8.9N,73.4E,8.90721000,73.42938000,25,.28761000,.94756000,200.00000000
-1492-09-13,Total,00:02:29,149,5.4S,61.0W,-5.43247000,-61.04022000,30,-.28313000,1.02767000,97.30000000
-1491-03-08,Partial,,,60.9N,50.1W,60.92515000,-50.06726000,35,1.01638000,.95202000,.00000000
-1491-09-02,Partial,,,61.4S,84.5E,-61.35836000,84.53784000,40,-1.04465000,.89717000,.00000000
-1490-01-27,Total,00:01:58,118,74.1S,99.0E,-74.12788000,99.04352000,7,-.95359000,1.03750000,430.70000000
-1490-07-23,Partial,,,64.0N,135.5E,64.03638000,135.45386000,12,1.10940000,.77292000,.00000000
-1489-01-17,Total,00:04:00,240,38.4S,116.4E,-38.35727000,116.39789000,17,-.26728000,1.04928000,169.90000000
-1489-07-12,Annular,00:03:31,211,44.1N,30.9W,44.07431000,-30.89252000,22,.34732000,.96527000,133.80000000
-1488-01-07,Hybrid,00:00:18,18,2.1N,100.8W,2.08058000,-100.76965000,27,.43948000,1.00278000,10.80000000
-1488-07-01,Total,00:02:15,135,1.5S,153.4W,-1.54102000,-153.38043000,32,-.42780000,1.02037000,76.90000000
-1488-12-26,Partial,,,66.2N,142.4E,66.20284000,142.40149000,37,1.19215000,.63345000,.00000000
-1487-05-22,Partial,,,69.5N,54.9W,69.50523000,-54.86499000,4,1.35199000,.34050000,.00000000
-1487-06-20,Partial,,,67.0S,6.4W,-67.02197000,-6.39667000,42,-1.14631000,.73870000,.00000000
-1487-11-15,Partial,,,70.1S,71.4W,-70.06298000,-71.39148000,9,-1.16687000,.67128000,.00000000
-1486-05-12,Total,00:04:10,250,52.2N,177.8W,52.15481000,-177.75452000,14,.63839000,1.05731000,245.10000000
-1486-11-04,Annular,00:04:19,259,37.5S,27.6E,-37.45503000,27.58887000,19,-.45114000,.95725000,173.90000000
-1485-05-01,Hybrid,00:00:47,47,3.4N,8.0E,3.36774000,8.00006000,24,-.12648000,1.00722000,25.20000000
-1485-10-25,Hybrid,00:01:29,89,7.0N,101.0W,7.01976000,-101.04614000,29,.25966000,1.01489000,52.80000000
-1484-04-20,Annular,00:04:24,264,57.7S,45.3W,-57.73592000,-45.34192000,34,-.92989000,.94934000,506.20000000
-1484-10-13,Total,00:02:30,150,58.6N,66.5E,58.64042000,66.46283000,39,.91841000,1.03761000,320.30000000
-1483-03-10,Partial,,,71.1N,82.6E,71.12413000,82.61053000,6,1.18791000,.64137000,.00000000
-1483-09-03,Partial,,,70.6S,83.7W,-70.63709000,-83.65527000,11,-1.09628000,.81793000,.00000000
-1482-02-27,Annular,00:00:02,2,9.7N,49.8E,9.72862000,49.82947000,16,.39924000,.99967000,1.20000000
-1482-08-24,Annular,00:04:37,277,7.3S,167.1W,-7.25387000,-167.11261000,21,-.40364000,.96277000,146.80000000
-1481-02-17,Total,00:04:01,241,36.3S,131.0W,-36.32204000,-130.98273000,26,-.34302000,1.04800000,169.90000000
-1481-08-13,Annular,00:07:27,447,38.4N,174.1E,38.38096000,174.13452000,31,.32984000,.93515000,256.10000000
-1480-02-06,Partial,,,68.8S,135.3E,-68.82799000,135.30762000,36,-1.03171000,.95466000,.00000000
-1480-08-01,Partial,,,67.9N,27.7W,67.93478000,-27.68073000,41,1.05005000,.87784000,.00000000
-1480-12-28,Annular,00:02:20,140,56.1N,50.0W,56.12088000,-50.01758000,8,.98436000,.97220000,610.60000000
-1479-06-22,Total,00:02:24,144,43.6S,123.6W,-43.60610000,-123.58728000,13,-.92528000,1.02855000,255.90000000
-1479-12-17,Annular,00:08:55,535,5.2S,140.5W,-5.15535000,-140.52435000,18,.31093000,.93323000,261.80000000
-1478-06-11,Total,00:06:57,417,13.2N,12.4W,13.18257000,-12.39215000,23,-.15413000,1.07853000,256.60000000
-1478-12-06,Annular,00:09:04,544,41.8S,146.1W,-41.75310000,-146.13257000,28,-.37251000,.91649000,341.50000000
-1477-06-01,Total,00:04:33,273,52.9N,67.8E,52.86935000,67.75348000,33,.59139000,1.06621000,267.50000000
-1477-11-25,Partial,,,62.2S,81.7E,-62.18437000,81.72949000,38,-1.03395000,.90332000,.00000000
-1476-04-21,Partial,,,60.8S,114.9E,-60.75154000,114.89575000,5,-1.27414000,.49356000,.00000000
-1476-05-21,Partial,,,62.1N,112.1E,62.09570000,112.13312000,43,1.39749000,.26647000,.00000000
-1476-10-15,Partial,,,60.7N,0.3W,60.68533000,-.31030000,10,1.10969000,.79816000,.00000000
-1475-04-10,Annular,00:05:30,330,25.7S,1.3E,-25.71598000,1.29309000,15,-.54268000,.94784000,223.40000000
-1475-10-04,Total,00:03:53,233,22.4N,57.0E,22.42930000,57.02612000,20,.42457000,1.04923000,178.90000000
-1474-03-30,Annular,00:05:17,317,9.3N,27.6W,9.26934000,-27.59442000,25,.21488000,.95190000,179.60000000
-1474-09-24,Total,00:01:58,118,8.5S,171.9E,-8.50890000,171.94312000,30,-.26376000,1.02215000,77.90000000
-1473-03-20,Annular,00:01:19,79,53.6N,140.1W,53.64570000,-140.07202000,35,.95407000,.98230000,207.40000000
-1473-09-13,Partial,,,60.9S,43.1W,-60.92285000,-43.13647000,40,-1.01905000,.93945000,.00000000
-1472-02-08,Total,00:02:01,121,68.6S,17.3W,-68.61810000,-17.26813000,7,-.98205000,1.04007000,770.70000000
-1472-08-03,Partial,,,63.2N,22.3E,63.15938000,22.26868000,12,1.17147000,.66729000,.00000000
-1471-01-27,Total,00:04:04,244,37.7S,8.7W,-37.66835000,-8.74207000,17,-.29042000,1.05083000,176.10000000
-1471-07-23,Annular,00:03:23,203,46.8N,132.1W,46.78836000,-132.11249000,22,.41285000,.96497000,138.90000000
-1470-01-17,Hybrid,00:00:16,16,1.6N,132.2E,1.62217000,132.20557000,27,.42460000,1.00248000,9.50000000
-1470-07-12,Total,00:02:24,144,2.9N,95.0E,2.87052000,94.97839000,32,-.35996000,1.02213000,80.80000000
-1469-01-06,Partial,,,65.1N,9.9E,65.14664000,9.92047000,37,1.18313000,.64889000,.00000000
-1469-06-02,Partial,,,68.6N,179.4W,68.62468000,-179.40289000,4,1.42368000,.20100000,.00000000
-1469-07-02,Partial,,,66.0S,131.0W,-66.01355000,-130.99695000,42,-1.07705000,.87218000,.00000000
-1469-11-27,Partial,,,69.1S,153.4E,-69.13249000,153.37335000,9,-1.16733000,.67080000,.00000000
-1468-05-22,Total,00:03:37,217,61.6N,68.7E,61.59163000,68.69434000,14,.71552000,1.05326000,252.70000000
-1468-11-15,Annular,00:03:59,239,41.5S,98.9W,-41.49295000,-98.91797000,19,-.44974000,.95961000,164.10000000
-1467-05-12,Hybrid,00:00:29,29,11.4N,99.0W,11.43188000,-98.96997000,24,-.04756000,1.00431000,15.00000000
-1467-11-04,Hybrid,00:01:39,99,2.9N,125.8E,2.85414000,125.80591000,29,.25814000,1.01641000,58.10000000
-1466-05-01,Annular,00:04:54,294,45.4S,156.9W,-45.44696000,-156.91095000,34,-.84901000,.95111000,335.80000000
-1466-10-25,Total,00:02:33,153,54.7N,73.0W,54.69062000,-73.02258000,39,.91335000,1.03652000,301.90000000
-1465-03-21,Partial,,,71.5N,36.2W,71.50902000,-36.20886000,6,1.24782000,.53851000,.00000000
-1465-09-15,Partial,,,71.2S,139.4E,-71.24101000,139.35852000,11,-1.12414000,.76531000,.00000000
-1464-03-10,Hybrid,00:00:36,36,16.5N,66.2W,16.48176000,-66.18152000,16,.45022000,1.00581000,22.40000000
-1464-09-03,Annular,00:05:17,317,12.9S,76.0E,-12.88430000,75.97028000,21,-.44078000,.95663000,175.10000000
-1463-02-27,Total,00:04:35,275,30.1S,107.8E,-30.08368000,107.83502000,26,-.29992000,1.05370000,186.00000000
-1463-08-23,Annular,00:08:10,490,32.3N,66.3E,32.31629000,66.32104000,31,.28170000,.93183000,265.60000000
-1462-02-17,Total,,,69.7S,1.2W,-69.74379000,-1.19189000,36,-.99805000,1.02001000,.00000000
-1462-08-12,Annular,00:03:45,225,72.8N,153.1W,72.79616000,-153.10754000,41,.99432000,.93752000,.00000000
-1461-01-08,Annular,,,66.1N,178.6E,66.05748000,178.64294000,8,.99942000,.98051000,.00000000
-1461-07-03,Total,00:01:52,112,59.2S,124.8E,-59.17302000,124.81641000,13,-.99135000,1.02519000,.00000000
-1461-12-28,Annular,00:09:12,552,5.2S,97.6E,-5.21727000,97.60052000,18,.32131000,.93312000,263.50000000
-1460-06-22,Total,00:07:04,424,10.4N,125.4W,10.41009000,-125.39215000,23,-.22564000,1.07762000,257.40000000
-1460-12-16,Annular,00:08:56,536,43.7S,96.1E,-43.72744000,96.05719000,28,-.36533000,.91830000,333.00000000
-1459-06-11,Total,00:04:34,274,51.5N,37.8W,51.49236000,-37.79138000,33,.51834000,1.06383000,244.30000000
-1459-12-05,Partial,,,63.0S,53.5W,-62.99669000,-53.51733000,38,-1.03042000,.91064000,.00000000
-1458-05-03,Partial,,,61.1S,3.0E,-61.09411000,2.97095000,5,-1.35685000,.34628000,.00000000
-1458-06-01,Partial,,,62.7N,2.9W,62.73954000,-2.88538000,43,1.32487000,.40030000,.00000000
-1458-10-26,Partial,,,60.9N,141.5W,60.91258000,-141.53497000,10,1.11153000,.79486000,.00000000
-1457-04-22,Annular,00:05:36,336,27.0S,95.6W,-27.03714000,-95.62250000,15,-.62622000,.94749000,241.00000000
-1457-10-16,Total,00:03:46,226,18.6N,76.3W,18.57454000,-76.25348000,20,.43347000,1.04651000,170.10000000
-1456-04-10,Annular,00:04:47,287,9.5N,126.9W,9.54585000,-126.88617000,25,.13651000,.95602000,161.50000000
-1456-10-04,Hybrid,00:01:30,90,12.2S,43.3E,-12.18755000,43.28564000,30,-.25019000,1.01692000,59.60000000
-1455-03-30,Annular,00:00:42,42,49.7N,118.4E,49.69020000,118.41101000,35,.88686000,.99094000,67.20000000
-1455-09-24,Annular,,,60.6S,172.2W,-60.64530000,-172.18854000,40,-.99892000,.97187000,.00000000
-1454-02-18,Partial,,,61.9S,130.7W,-61.85550000,-130.71295000,7,-1.01639000,.98450000,.00000000
-1454-08-14,Partial,,,62.4N,93.0W,62.38195000,-92.96106000,12,1.22589000,.57516000,.00000000
-1453-02-08,Total,00:04:07,247,36.5S,132.0W,-36.48482000,-132.01746000,17,-.32043000,1.05229000,182.50000000
-1453-08-03,Annular,00:03:18,198,48.0N,124.7E,48.01268000,124.74945000,22,.47146000,.96442000,145.50000000
-1452-01-28,Hybrid,00:00:16,16,1.5N,7.8E,1.49254000,7.80090000,27,.40214000,1.00246000,9.30000000
-1452-07-22,Total,00:02:27,147,6.0N,18.4W,5.95819000,-18.37146000,32,-.29868000,1.02328000,82.90000000
-1451-01-17,Partial,,,64.1N,119.4W,64.14925000,-119.39459000,37,1.16559000,.67895000,.00000000
-1451-06-13,Partial,,,67.7N,55.8E,67.67796000,55.81757000,4,1.49294000,.06666000,.00000000
-1451-07-12,Partial,,,65.0S,102.9E,-65.01782000,102.93646000,42,-1.01347000,.99435000,.00000000
-1451-12-07,Partial,,,68.1S,19.2E,-68.10019000,19.23541000,9,-1.16983000,.66706000,.00000000
-1450-06-02,Total,00:03:03,183,71.4N,44.6W,71.42892000,-44.58557000,14,.79284000,1.04820000,264.60000000
-1450-11-26,Annular,00:03:36,216,45.0S,135.2E,-44.99850000,135.20575000,19,-.44792000,.96261000,151.50000000
-1449-05-23,Hybrid,00:00:05,5,19.3N,155.7E,19.30314000,155.73254000,24,.03441000,1.00077000,2.70000000
-1449-11-15,Total,00:01:53,113,0.8S,8.0W,-.75473000,-7.98260000,29,.25908000,1.01848000,65.40000000
-1448-05-11,Annular,00:05:26,326,34.5S,98.5E,-34.52570000,98.54907000,34,-.76329000,.95178000,270.80000000
-1448-11-04,Total,00:02:36,156,51.5N,147.1E,51.52177000,147.11157000,39,.91243000,1.03570000,294.10000000
-1447-04-01,Partial,,,71.7N,153.6W,71.65735000,-153.57739000,6,1.31328000,.42494000,.00000000
-1447-04-30,Partial,,,71.0S,135.5E,-70.98493000,135.47504000,44,-1.51704000,.07570000,.00000000
-1447-09-25,Partial,,,71.6S,0.2E,-71.62181000,.23047000,11,-1.14573000,.72472000,.00000000
-1446-03-21,Hybrid,00:01:09,69,23.9N,178.5E,23.86745000,178.51135000,16,.50602000,1.01167000,46.30000000
-1446-09-14,Annular,00:05:50,350,18.5S,42.9W,-18.53078000,-42.86475000,21,-.47109000,.95076000,203.20000000
-1445-03-10,Total,00:05:10,310,23.2S,12.6W,-23.22619000,-12.59583000,26,-.25066000,1.05925000,201.10000000
-1445-09-04,Annular,00:08:51,531,26.2N,44.3W,26.19516000,-44.28613000,31,.24044000,.92855000,276.00000000
-1444-02-28,Total,00:02:48,168,75.5S,169.1E,-75.53197000,169.13251000,36,-.95806000,1.05132000,613.70000000
-1444-08-23,Annular,00:04:06,246,78.4N,24.5E,78.40851000,24.48126000,41,.94602000,.94028000,701.20000000
-1443-01-18,Partial,,,67.1N,43.9E,67.14356000,43.93304000,8,1.02067000,.94252000,.00000000
-1443-07-13,Partial,,,66.2S,4.6E,-66.18850000,4.56030000,13,-1.05104000,.91105000,.00000000
-1442-01-07,Annular,00:09:20,560,4.1S,22.6W,-4.11587000,-22.55676000,18,.33688000,.93340000,264.00000000
-1442-07-03,Total,00:07:05,425,6.9N,119.9E,6.93459000,119.90704000,23,-.29326000,1.07603000,257.30000000
-1442-12-27,Annular,00:08:46,526,44.4S,19.9W,-44.41540000,-19.91180000,28,-.35393000,.92071000,321.20000000
-1441-06-23,Total,00:04:32,272,49.3N,144.5W,49.29330000,-144.47839000,33,.44784000,1.06062000,222.90000000
-1441-12-17,Partial,,,63.9S,171.8E,-63.92252000,171.82410000,38,-1.02314000,.92474000,.00000000
-1440-05-13,Partial,,,61.6S,107.8W,-61.57545000,-107.83759000,5,-1.44216000,.19520000,.00000000
-1440-06-11,Partial,,,63.5N,118.1W,63.49753000,-118.14117000,43,1.25304000,.53162000,.00000000
-1440-11-05,Partial,,,61.3N,76.2E,61.30684000,76.17645000,10,1.11084000,.79640000,.00000000
-1439-05-02,Annular,00:05:46,346,29.6S,168.6E,-29.64308000,168.57458000,15,-.71311000,.94645000,272.60000000
-1439-10-26,Total,00:03:41,221,14.8N,149.2E,14.81383000,149.22192000,20,.43895000,1.04429000,162.80000000
-1438-04-21,Annular,00:04:24,264,9.6N,134.9E,9.60721000,134.90753000,25,.05443000,.95976000,146.30000000
-1438-10-16,Hybrid,00:01:04,64,16.3S,86.9W,-16.31306000,-86.89581000,30,-.24248000,1.01207000,42.70000000
-1437-04-10,Annular,00:00:06,6,47.6N,16.1E,47.56137000,16.10364000,35,.81323000,.99868000,7.80000000
-1437-10-05,Annular,00:03:49,229,59.4S,74.1E,-59.42592000,74.05469000,40,-.98598000,.94596000,.00000000
-1436-02-29,Partial,,,61.3S,98.9E,-61.33178000,98.87939000,7,-1.05856000,.90585000,.00000000
-1436-03-30,Partial,,,60.7N,135.2E,60.69468000,135.18555000,45,1.50348000,.05690000,.00000000
-1436-08-24,Partial,,,61.7N,149.5E,61.72274000,149.46289000,12,1.27194000,.49763000,.00000000
-1435-02-18,Total,00:04:10,250,35.0S,106.7E,-35.00961000,106.68451000,17,-.35793000,1.05360000,189.20000000
-1435-08-13,Annular,00:03:16,196,47.8N,18.5E,47.79220000,18.51044000,22,.52187000,.96374000,153.00000000
-1434-02-08,Hybrid,00:00:16,16,1.8N,114.4W,1.77745000,-114.35223000,27,.37357000,1.00257000,9.60000000
-1434-08-03,Total,00:02:26,146,7.8N,133.1W,7.82579000,-133.12128000,32,-.24248000,1.02397000,83.90000000
-1433-01-28,Partial,,,63.2N,113.5E,63.23557000,113.49316000,37,1.14280000,.71806000,.00000000
-1433-07-23,Total,00:04:08,248,48.3S,12.4W,-48.32610000,-12.41394000,42,-.95378000,1.05526000,615.30000000
-1433-12-18,Partial,,,67.0S,113.7W,-67.01726000,-113.68469000,9,-1.17424000,.66025000,.00000000
-1432-06-13,Total,00:02:28,148,81.9N,159.8W,81.93843000,-159.83496000,14,.86907000,1.04201000,287.70000000
-1432-12-06,Annular,00:03:10,190,47.8S,10.5E,-47.83851000,10.47687000,19,-.44728000,.96623000,136.40000000
-1431-06-02,Annular,00:00:22,22,26.7N,51.3E,26.67264000,51.34253000,24,.11525000,.99666000,11.70000000
-1431-11-26,Total,00:02:09,129,3.9S,141.5W,-3.86027000,-141.51190000,29,.25919000,1.02102000,74.20000000
-1430-05-22,Annular,00:05:58,358,24.9S,3.5W,-24.85551000,-3.54700000,34,-.67760000,.95172000,239.00000000
-1430-11-15,Total,00:02:39,159,48.9N,7.2E,48.85577000,7.20575000,39,.91268000,1.03526000,291.50000000
-1429-04-12,Partial,,,71.6N,90.4E,71.56541000,90.37653000,6,1.38317000,.30253000,.00000000
-1429-05-11,Partial,,,70.4S,25.6E,-70.36729000,25.59375000,44,-1.43057000,.22373000,.00000000
-1429-10-07,Partial,,,71.7S,140.7W,-71.74720000,-140.71027000,11,-1.16142000,.69528000,.00000000
-1428-03-31,Total,00:01:34,94,31.9N,64.3E,31.93031000,64.28925000,16,.56815000,1.01706000,70.50000000
-1428-09-25,Annular,00:06:17,377,24.1S,163.5W,-24.07400000,-163.52509000,21,-.49414000,.94542000,229.60000000
-1427-03-21,Total,00:05:41,341,15.9S,131.8W,-15.85516000,-131.75885000,26,-.19457000,1.06431000,214.40000000
-1427-09-14,Annular,00:09:27,567,20.2N,158.0W,20.22789000,-157.95544000,31,.20797000,.92560000,286.00000000
-1426-03-10,Total,00:03:20,200,68.4S,17.4E,-68.36322000,17.36115000,36,-.91143000,1.05571000,450.80000000
-1426-09-03,Annular,00:04:24,264,71.8N,120.0W,71.76909000,-120.03381000,41,.90554000,.94104000,519.30000000
-1425-01-30,Partial,,,68.2N,89.0W,68.20747000,-88.98120000,8,1.04857000,.89292000,.00000000
-1425-07-25,Partial,,,67.2S,121.2W,-67.20383000,-121.22418000,13,-1.10537000,.80917000,.00000000
-1424-01-19,Annular,00:09:17,557,1.8S,140.6W,-1.75879000,-140.60101000,18,.35953000,.93420000,263.00000000
-1424-07-13,Total,00:06:58,418,2.8N,3.4E,2.82298000,3.35352000,23,-.35638000,1.07360000,255.50000000
-1423-01-07,Annular,00:08:33,513,43.7S,134.4W,-43.69864000,-134.41504000,28,-.33812000,.92378000,306.00000000
-1423-07-03,Total,00:04:27,267,46.2N,107.2E,46.21415000,107.15350000,33,.38046000,1.05663000,202.20000000
-1423-12-27,Annular,,,64.9S,37.4E,-64.93671000,37.44556000,38,-1.01316000,.94384000,.00000000
-1422-05-24,Partial,,,62.2S,141.8E,-62.18525000,141.80353000,5,-1.52777000,.04456000,.00000000
-1422-06-23,Partial,,,64.4N,126.1E,64.35474000,126.12311000,43,1.18279000,.65877000,.00000000
-1422-11-17,Partial,,,61.9N,66.9W,61.86047000,-66.94312000,10,1.10832000,.80143000,.00000000
-1421-05-13,Annular,00:05:56,356,34.0S,73.9E,-34.03876000,73.89868000,15,-.80272000,.94477000,331.10000000
-1421-11-06,Total,00:03:39,219,11.2N,13.6E,11.24687000,13.58319000,20,.44084000,1.04248000,156.70000000
-1420-05-01,Annular,00:04:05,245,9.3N,37.4E,9.26820000,37.42719000,25,-.03022000,.96310000,133.50000000
-1420-10-26,Hybrid,00:00:41,41,20.6S,142.3E,-20.60631000,142.25928000,30,-.23838000,1.00772000,27.40000000
-1419-04-21,Hybrid,00:00:26,26,46.5N,86.5W,46.53320000,-86.48712000,35,.73710000,1.00555000,27.90000000
-1419-10-15,Annular,00:04:02,242,60.4S,52.2W,-60.39799000,-52.15686000,40,-.97789000,.94200000,1058.20000000
-1418-03-12,Partial,,,61.0S,29.9W,-60.95781000,-29.86768000,7,-1.10620000,.81589000,.00000000
-1418-04-10,Partial,,,60.7N,12.5E,60.70472000,12.52606000,45,1.43708000,.18175000,.00000000
-1418-09-05,Partial,,,61.2N,29.9E,61.19941000,29.88605000,12,1.31095000,.43230000,.00000000
-1417-03-01,Total,00:04:12,252,33.4S,12.8W,-33.41002000,-12.79498000,17,-.40229000,1.05458000,195.90000000
-1417-08-25,Annular,00:03:16,196,46.4N,91.3W,46.41226000,-91.25116000,22,.56467000,.96304000,160.60000000
-1416-02-19,Hybrid,00:00:16,16,2.2N,126.8E,2.24143000,126.81018000,27,.33545000,1.00268000,9.80000000
-1416-08-13,Total,00:02:23,143,8.3N,109.6E,8.34332000,109.59973000,32,-.19448000,1.02426000,84.00000000
-1415-02-07,Partial,,,62.4N,10.3W,62.43054000,-10.32227000,37,1.11054000,.77343000,.00000000
-1415-08-03,Total,00:04:22,262,40.7S,133.0W,-40.67205000,-132.96588000,42,-.90084000,1.05598000,423.10000000
-1415-12-29,Partial,,,65.9S,115.4E,-65.93267000,115.36359000,9,-1.18359000,.64523000,.00000000
-1414-06-24,Total,00:01:52,112,85.6N,71.0W,85.59259000,-71.00159000,14,.94286000,1.03438000,358.40000000
-1414-12-18,Annular,00:02:42,162,49.9S,112.8W,-49.86193000,-112.76245000,19,-.44899000,.97051000,118.80000000
-1413-06-14,Annular,00:00:51,51,33.5N,51.5W,33.54159000,-51.45618000,24,.19699000,.99190000,29.00000000
-1413-12-07,Total,00:02:29,149,6.3S,85.1E,-6.30647000,85.05414000,29,.25926000,1.02419000,85.20000000
-1412-06-02,Annular,00:06:30,390,16.1S,103.7W,-16.06183000,-103.73749000,34,-.59019000,.95093000,222.20000000
-1412-11-26,Total,00:02:44,164,46.7N,132.8W,46.69261000,-132.75500000,39,.91371000,1.03532000,294.30000000
-1411-04-22,Partial,,,71.2N,24.6W,71.24587000,-24.56940000,6,1.45619000,.17357000,.00000000
-1411-05-22,Partial,,,69.6S,83.8W,-69.59077000,-83.77515000,44,-1.34295000,.37444000,.00000000
-1411-10-17,Partial,,,71.6S,76.9E,-71.60294000,76.86871000,11,-1.17178000,.67579000,.00000000
-1410-04-11,Total,00:01:52,112,40.5N,49.6W,40.49911000,-49.55151000,16,.63397000,1.02198000,96.20000000
-1410-10-06,Annular,00:06:39,399,29.5S,74.5E,-29.50124000,74.54541000,21,-.51134000,.94048000,254.60000000
-1409-04-01,Total,00:06:09,369,8.2S,110.0E,-8.18423000,110.00323000,26,-.13367000,1.06897000,226.70000000
-1409-09-25,Annular,00:10:00,600,14.4N,86.1E,14.42848000,86.11414000,31,.18251000,.92292000,295.60000000
-1408-03-21,Total,00:03:51,231,59.5S,115.4W,-59.48774000,-115.44269000,36,-.85862000,1.05921000,379.50000000
-1408-09-13,Annular,00:04:41,281,64.7N,112.0E,64.66148000,111.99292000,41,.87320000,.94143000,445.00000000
-1407-02-09,Partial,,,69.2N,139.9E,69.20562000,139.94275000,8,1.08314000,.83153000,.00000000
-1407-08-04,Partial,,,68.2S,110.3E,-68.20437000,110.29785000,13,-1.15308000,.71960000,.00000000
-1407-09-02,Partial,,,70.5N,100.0E,70.54719000,99.96918000,51,1.52658000,.03551000,.00000000
-1406-01-29,Annular,00:09:06,546,1.8N,103.3E,1.77718000,103.26270000,18,.38898000,.93517000,262.00000000
-1406-07-25,Total,00:06:42,402,1.8S,115.5W,-1.77248000,-115.46857000,23,-.41356000,1.07067000,252.50000000
-1405-01-18,Annular,00:08:17,497,41.4S,112.6E,-41.43403000,112.63104000,28,-.31519000,.92739000,287.90000000
-1405-07-14,Total,00:04:17,257,42.3N,3.4W,42.33315000,-3.36902000,33,.31716000,1.05193000,181.60000000
-1404-01-07,Annular,,,66.0S,95.8W,-66.00601000,-95.77289000,38,-.99740000,.97344000,.00000000
-1404-07-03,Partial,,,65.3N,9.3E,65.29325000,9.28259000,43,1.11595000,.77835000,.00000000
-1404-11-27,Partial,,,62.6N,149.9E,62.56020000,149.89771000,10,1.10663000,.80510000,.00000000
-1403-05-24,Annular,00:06:02,362,41.0S,20.1W,-40.97950000,-20.13257000,15,-.89220000,.94207000,463.40000000
-1403-11-17,Total,00:03:40,220,8.1N,122.4W,8.08641000,-122.43335000,20,.44100000,1.04121000,152.40000000
-1402-05-13,Annular,00:03:51,231,8.3N,59.6W,8.30354000,-59.55469000,25,-.11727000,.96601000,123.30000000
-1402-11-06,Hybrid,00:00:21,21,24.9S,10.9E,-24.90631000,10.88464000,30,-.23783000,1.00387000,13.80000000
-1401-05-02,Hybrid,00:00:55,55,45.9N,171.9E,45.90589000,171.89331000,35,.65711000,1.01179000,53.10000000
-1401-10-27,Annular,00:04:13,253,62.3S,177.1E,-62.33590000,177.11914000,40,-.97442000,.93816000,1051.90000000
-1400-03-22,Partial,,,60.7S,156.3W,-60.73967000,-156.32410000,7,-1.16149000,.71034000,.00000000
-1400-04-20,Partial,,,60.9N,108.7W,60.86383000,-108.69781000,45,1.36522000,.31831000,.00000000
-1400-09-15,Partial,,,60.8N,92.3W,60.82426000,-92.27240000,12,1.34140000,.38158000,.00000000
-1399-03-12,Total,00:04:14,254,31.9S,130.5W,-31.91826000,-130.45612000,17,-.45354000,1.05512000,202.50000000
-1399-09-04,Annular,00:03:18,198,44.2N,155.2E,44.18256000,155.23688000,22,.60005000,.96243000,167.90000000
-1398-03-01,Hybrid,00:00:16,16,3.0N,10.3E,3.03992000,10.25897000,27,.29126000,1.00269000,9.70000000
-1398-08-24,Total,00:02:18,138,7.7N,9.8W,7.71740000,-9.81561000,32,-.15285000,1.02427000,83.40000000
-1397-02-19,Partial,,,61.7N,131.5W,61.74992000,-131.47430000,37,1.07113000,.84120000,.00000000
-1397-08-14,Total,00:04:23,263,36.4S,104.7E,-36.36753000,104.66077000,42,-.85344000,1.05536000,345.90000000
-1396-01-09,Partial,,,64.9S,13.9W,-64.88557000,-13.91260000,9,-1.19709000,.62322000,.00000000
-1396-07-04,Partial,,,65.7N,171.2E,65.65117000,171.22748000,14,1.01297000,.98222000,.00000000
-1396-12-28,Annular,00:02:13,133,51.0S,125.8E,-51.02826000,125.75665000,19,-.45516000,.97529000,99.40000000
-1395-06-24,Annular,00:01:21,81,39.5N,153.8W,39.50774000,-153.76239000,24,.27490000,.98671000,48.90000000
-1395-12-18,Total,00:02:50,170,8.2S,47.5W,-8.17786000,-47.49377000,29,.25618000,1.02780000,97.50000000
-1394-06-13,Annular,00:06:58,418,8.3S,156.8E,-8.28688000,156.77631000,34,-.50424000,.94967000,213.70000000
-1394-12-07,Total,00:02:51,171,44.8N,87.7E,44.78337000,87.71729000,39,.91346000,1.03585000,298.90000000
-1393-05-03,Partial,,,70.7N,138.7W,70.72506000,-138.68658000,6,1.53105000,.04038000,.00000000
-1393-06-02,Partial,,,68.7S,167.0E,-68.69434000,166.98761000,44,-1.25531000,.52572000,.00000000
-1393-10-28,Partial,,,71.2S,66.2W,-71.19639000,-66.16821000,11,-1.17839000,.66326000,.00000000
-1392-04-22,Total,00:02:03,123,49.6N,163.2W,49.63804000,-163.16595000,16,.70401000,1.02609000,124.10000000
-1392-10-16,Annular,00:06:55,415,34.7S,48.4W,-34.71165000,-48.42908000,21,-.52275000,.93627000,276.30000000
-1391-04-11,Total,00:06:31,391,0.3S,7.1W,-.30479000,-7.09387000,26,-.06808000,1.07289000,237.10000000
-1391-10-05,Annular,00:10:27,627,8.9N,31.9W,8.89370000,-31.91467000,31,.16371000,.92075000,303.60000000
