efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
181,Mar 26,8,3m32.68s,212.68,28m21.40s,1701.40,174,191,-7
182,Feb 16,6,3m32.42s,212.42,21m14.50s,1274.50,263,272,81
183,Nov 17,12,3m32.34s,212.34,42m28.10s,2548.10,26,72,-157
184,Apr 1,8,3m31.85s,211.85,28m14.80s,1694.80,174,194,-10
185,Mar 12,15,3m31.22s,211.22,52m48.30s,3168.30,2,30,-183
186,Aug 9,8,3m31.19s,211.19,28m09.50s,1689.50,174,195,-12
187,Jun 29,8,3m31.15s,211.15,28m09.20s,1689.20,174,196,-13
188,Jul 10,14,3m30.94s,210.94,49m13.20s,2953.20,8,42,-180
189,Oct 14,4,3m30.90s,210.90,14m03.60s,843.60,331,325,142
190,Jan 17,10,3m30.00s,210.00,35m00.00s,2100.00,86,124,-104
191,Oct 9,6,3m29.52s,209.52,20m57.10s,1257.10,263,275,72
192,Sep 21,10,3m29.38s,209.38,34m53.80s,2093.80,86,125,-106
193,Mar 19,9,3m29.11s,209.11,31m22.00s,1882.00,128,160,-65
194,Mar 15,11,3m28.96s,208.96,38m18.60s,2298.60,50,101,-144
195,Jul 6,9,3m28.79s,208.79,31m19.10s,1879.10,128,162,-67
196,Mar 13,6,3m28.60s,208.60,20m51.60s,1251.60,263,276,67
197,Mar 21,10,3m28.38s,208.38,34m43.80s,2083.80,86,126,-111
197,Feb 18,10,3m28.38s,208.38,34m43.80s,2083.80,86,126,-111
199,Mar 27,9,3m28.33s,208.33,31m15.00s,1875.00,128,164,-71
200,Sep 28,8,3m28.25s,208.25,27m46.00s,1666.00,174,201,-26
201,Jan 28,8,3m28.11s,208.11,27m44.90s,1664.90,174,202,-27
202,Aug 27,7,3m27.57s,207.57,24m13.00s,1453.00,225,243,23
203,Sep 15,10,3m26.98s,206.98,34m29.80s,2069.80,86,130,-117
204,Feb 28,7,3m26.91s,206.91,24m08.40s,1448.40,225,245,21
205,Dec 19,4,3m26.45s,206.45,13m45.80s,825.80,331,326,126
206,Sep 26,7,3m26.21s,206.21,24m03.50s,1443.50,225,247,19
207,Aug 19,14,3m25.77s,205.77,48m00.80s,2880.80,8,49,-199
208,Feb 25,10,3m25.62s,205.62,34m16.20s,2056.20,86,135,-122
209,Sep 11,5,3m24.34s,204.34,17m01.70s,1021.70,307,305,98
210,Sep 4,9,3m22.89s,202.89,30m26.00s,1826.00,128,171,-82
211,Sep 20,8,3m22.61s,202.61,27m00.90s,1620.90,174,207,-37
212,Jan 21,8,3m21.94s,201.94,26m55.50s,1615.50,174,208,-38
213,Apr 18,10,3m21.87s,201.87,33m38.70s,2018.70,86,139,-127
214,Mar 14,12,3m20.70s,200.70,40m08.40s,2408.40,26,83,-188
