year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,land_min_sun_alt,corridor_max_totality_s,continents,countries,closest_town,closest_cc,closest_dist_km,land_lat,land_lon,lat_range,lon_range
2480,2480-10-04,161,T,62.8,3.0,3.0,184.8,Asia,TH VN,Tha Chang,TH,2,9.55,104.12,9.2..9.6,94.3..104.1
2581,2581-05-04,157,T,72.7,3.0,3.0,47.1,Asia,JP,Noshiromachi,JP,72,39.30,142.95,39.3..41.4,134.9..143.0
2725,2725-07-31,157,T,74.9,3.0,3.0,171.0,South America,BR,Barra do Pirai,BR,3,-22.45,-43.84,-22.5..-19.5,-51.8..-43.8
2026,2026-08-12,126,T,25.8,3.1,3.1,107.6,Europe,ES,Quintanilla del Coco,ES,2,39.81,1.76,39.8..42.8,-5.1..1.8
2178,2178-06-16,130,T,42.1,3.1,3.1,96.1,North America,US,Le Mars,US,1,41.50,-93.60,41.5..44.4,-99.3..-93.6
2665,2665-10-30,173,T,30.8,3.1,5.1,103.8,Asia,TR,Kurucasile,TR,52,42.67,34.35,41.8..43.2,30.1..36.8
2168,2168-07-05,139,T,80.5,3.1,3.1,229.7,Asia,ID,Kokar,ID,24,-7.96,124.38,-8.0..-4.6,116.9..124.4
2429,2429-12-26,158,T,59.5,3.2,8.0,87.2,Oceania,AU,Esperance,AU,94,-34.63,122.32,-35.3..-32.4,120.8..127.2
2920,2920-08-05,160,T,59.8,3.2,3.2,176.5,Africa,ET SD SS,Gambela,ET,23,8.29,34.79,8.3..11.8,26.0..34.8
2277,2277-08-29,149,T,80.8,3.3,3.3,86.8,South America,BR EC PE,Jeberos,PE,21,-6.41,-70.03,-6.4..-4.6,-78.7..-70.0
2233,2233-12-31,145,T,86.4,3.3,6.5,72.4,North America,CR PA,Buenos Aires,CR,11,10.00,-81.44,7.8..11.3,-85.8..-78.6
2090,2090-09-23,155,T,23.2,3.3,3.3,176.6,Europe,FR GB,Tessy-sur-Vire,FR,3,48.96,-1.09,49.0..49.5,-8.5..-1.1
2487,2487-05-23,155,T,67.4,3.4,3.4,112.9,Asia,CN,Bayan Hot,CN,35,37.89,109.13,37.9..40.5,101.9..109.1
2132,2132-06-13,139,Tm,89.1,3.4,3.4,216.8,Africa,CI GN,Pita,GN,17,8.32,-6.08,8.3..11.5,-13.5..-6.1
2786,2786-04-20,151,T,56.1,3.4,8.0,188.0,South America,BR,Santa Cruz,BR,10,-6.38,-34.71,-7.1..-5.8,-39.3..-30.3
2729,2729-11-13,164,T,83.2,3.4,8.6,118.2,Oceania,AU,Grafton,AU,14,-29.13,154.74,-30.0..-27.5,151.6..160.1
2917,2917-04-12,163,T,86.8,3.4,8.6,61.6,North America,MX,Congregacion Calles,MX,5,25.04,-98.22,24.4..25.3,-101.3..-92.8
2372,2372-07-31,161,T,35.1,3.4,3.4,189.6,Asia,MN,Mayhan,MN,19,44.02,109.45,44.0..46.3,103.9..109.5
2093,2093-01-27,142,T,73.9,3.4,12.8,70.8,Oceania,AS,Taulaga,AS,51,-10.61,-171.16,-10.6..-7.4,-171.2..-162.9
2746,2746-12-04,154,T,54.0,3.4,3.4,135.2,North America,MX,Paseos de San Juan,MX,2,19.76,-99.02,16.7..19.8,-106.7..-99.0
2273,2273-05-17,142,Tm,86.9,3.5,6.6,200.1,Africa,SD,Ar Rahad,SD,24,12.22,32.41,11.2..13.9,27.7..35.3
2519,2519-03-02,148,T,78.1,3.5,3.5,131.6,Asia,KW SA,Tanumah,SA,29,27.89,47.45,26.4..27.9,38.9..47.5
2697,2697-02-13,161,T,74.9,3.5,3.5,62.5,Europe,ES PT,Fuente Obejuna,ES,10,38.21,-5.32,35.9..38.2,-12.8..-5.3
2048,2048-12-05,133,T,66.4,3.6,3.6,101.9,Africa,NA,Maltahohe,NA,79,-24.12,16.96,-27.4..-24.1,9.6..17.0
2787,2787-04-10,161,T,81.1,3.6,3.6,63.2,Asia,CN,Qimantage,CN,19,36.81,98.21,36.8..37.5,90.3..98.2
2270,2270-01-22,145,T,86.9,3.6,6.7,85.2,Africa,NE,Bilma,NE,95,18.24,13.68,16.2..19.4,9.1..16.6
2938,2938-08-16,160,T,55.1,3.7,9.5,179.8,North America/South America,CO NI,Nuevo Amanecer,NI,20,12.17,-82.20,10.5..13.3,-85.2..-76.8
2710,2710-11-13,154,T,56.6,3.7,10.9,142.1,Oceania,FM,Ruo,FM,15,8.73,153.25,8.5..10.6,152.2..159.9
2866,2866-07-03,160,T,73.6,3.7,3.7,157.2,Africa,BF CI GH NG TG,Bouna,CI,15,6.14,3.77,6.1..9.9,-4.0..3.8
2331,2331-10-02,149,T,89.4,3.7,3.7,23.9,South America,BO BR,San Pedro,BO,47,-18.30,-53.70,-18.5..-18.3,-62.8..-53.7
2453,2453-09-03,142,T,41.0,3.7,7.4,185.9,Africa,EH MR,Zouerat,MR,74,22.09,-12.67,21.3..23.5,-17.5..-9.0
