year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2960,2960-12-09,167,T,81.1,4.8,66.9,-12.25,-43.40,-9.37,-37.03,-12.3..-9.4,-43.4..-37.0
2635,2635-06-07,157,T,83.7,4.8,107.0,20.91,151.08,18.16,157.75,18.2..20.9,151.1..157.8
2537,2537-03-12,148,T,76.9,4.8,139.8,29.67,-87.04,30.32,-80.52,29.7..30.3,-87.0..-80.5
2675,2675-10-11,164,T,77.1,4.8,156.4,-41.59,159.52,-41.22,165.14,-41.6..-41.2,159.5..165.1
2617,2617-05-26,157,T,79.8,4.8,86.7,28.00,-94.20,25.86,-88.45,25.9..28.0,-94.2..-88.4
2142,2142-05-25,130,T,53.3,4.8,108.2,42.31,114.21,40.61,118.35,40.6..42.3,114.2..118.4
2534,2534-11-07,161,T,69.5,4.8,148.0,5.39,81.16,7.46,88.67,5.4..7.5,81.2..88.7
2797,2797-09-13,157,T,57.9,4.8,168.5,-48.30,-140.44,-48.92,-134.77,-48.9..-48.3,-140.4..-134.8
2769,2769-03-30,161,T,79.2,4.8,60.5,39.88,-148.90,39.86,-143.48,39.9..39.9,-148.9..-143.5
2808,2808-08-13,158,T,67.4,4.8,24.3,1.80,117.05,-0.66,123.98,-0.7..1.8,117.0..124.0
2057,2057-01-05,142,T,73.3,4.8,51.2,-19.20,94.93,-16.33,101.30,-19.2..-16.3,94.9..101.3
2288,2288-02-02,145,T,87.3,4.8,92.5,20.34,-121.50,22.54,-115.79,20.3..22.5,-121.5..-115.8
2114,2114-06-03,139,T,86.8,4.8,209.0,19.48,101.22,16.77,108.02,16.8..19.5,101.2..108.0
2548,2548-08-05,154,Tm,84.9,4.8,143.5,-12.62,131.99,-15.19,138.60,-15.2..-12.6,132.0..138.6
2124,2124-05-14,130,T,57.8,4.8,112.6,41.83,-136.58,40.30,-132.12,40.3..41.8,-136.6..-132.1
2135,2135-10-07,136,T,60.6,4.9,176.4,0.38,97.68,0.42,105.92,0.3..0.4,97.7..105.9
2324,2324-02-25,145,Tm,88.6,4.9,114.0,25.92,-20.32,27.44,-14.11,25.9..27.4,-20.3..-14.1
2856,2856-01-28,164,T,87.6,4.9,45.5,2.77,-39.82,5.21,-33.38,2.8..5.2,-39.8..-33.4
2157,2157-02-09,133,T,64.0,4.9,83.7,-5.27,-66.18,-2.74,-59.17,-5.3..-2.7,-66.2..-59.2
2656,2656-10-10,154,T,63.4,4.9,153.7,-2.25,163.40,-1.96,171.72,-2.3..-2.0,163.4..171.7
2309,2309-06-09,142,T,79.3,4.9,209.5,14.13,160.36,11.21,166.79,11.2..14.1,160.4..166.8
2280,2280-01-03,136,T,50.0,4.9,82.3,32.11,145.12,33.78,148.74,32.1..33.8,145.1..148.7
2714,2714-03-08,151,T,64.1,4.9,138.8,0.59,102.31,2.19,110.59,0.6..2.2,102.3..110.6
2261,2261-12-22,136,T,50.4,4.9,93.6,26.95,-82.51,29.09,-77.77,26.9..29.1,-82.5..-77.8
2212,2212-08-27,148,T,78.8,4.9,96.4,-35.33,18.88,-36.54,23.75,-36.5..-35.3,18.9..23.8
2484,2484-01-28,158,T,60.4,4.9,80.3,-23.17,77.58,-20.78,83.79,-23.2..-20.8,77.6..83.8
2248,2248-09-18,148,T,85.8,4.9,100.0,-32.43,152.81,-33.11,159.42,-33.1..-32.4,152.8..159.4
2671,2671-06-28,157,T,88.0,4.9,139.1,5.05,-74.99,2.25,-68.76,2.2..5.1,-75.0..-68.8
2969,2969-01-09,176,T,58.6,4.9,94.3,-31.00,62.32,-28.69,67.48,-31.0..-28.7,62.3..67.5
2237,2237-04-25,142,T,86.6,5.0,183.6,12.61,-99.53,11.14,-92.65,11.1..12.6,-99.5..-92.6
2628,2628-04-26,158,T,71.9,5.0,104.1,-1.74,136.56,-3.35,143.99,-3.3..-1.7,136.6..144.0
2240,2240-08-18,139,T,63.0,5.0,215.5,-37.16,20.72,-38.48,25.38,-38.5..-37.2,20.7..25.4
2638,2638-09-29,154,T,66.3,5.0,155.3,-4.99,-77.05,-5.38,-68.63,-5.4..-5.0,-77.1..-68.6
2070,2070-04-11,130,T,68.4,5.0,119.4,39.03,-158.92,38.27,-152.17,38.3..39.0,-158.9..-152.2
