year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2106,2106-05-03,130,T,61.9,1.8,115.9,41.30,-26.07,38.90,-17.28,38.9..41.3,-26.1..-17.3
2202,2202-03-24,152,T,31.6,1.8,132.0,-40.89,-94.87,-40.50,-84.63,-40.9..-40.5,-94.9..-84.6
2037,2037-07-13,127,T,43.4,1.9,128.1,-41.80,-178.10,-44.37,-172.49,-44.4..-41.8,-178.1..-172.5
2371,2371-08-11,151,T,85.2,1.9,123.1,-3.84,-43.97,-6.94,-34.26,-6.9..-3.8,-44.0..-34.3
2225,2225-12-01,136,T,51.7,1.9,117.3,17.85,-178.11,21.21,-169.31,17.8..21.2,-178.1..-169.3
2996,2996-01-11,157,T,33.1,1.9,97.5,-43.30,-41.10,-39.73,-34.13,-43.3..-39.7,-41.1..-34.1
2444,2444-09-12,161,T,56.1,1.9,197.9,17.65,-22.54,16.41,-11.96,16.4..17.7,-22.5..-12.0
2274,2274-05-07,152,T,47.0,1.9,163.4,-27.30,129.32,-29.97,138.52,-30.0..-27.3,129.3..138.5
2320,2320-11-01,148,Tm,85.0,1.9,96.1,-21.42,33.43,-19.16,43.95,-21.4..-19.2,33.4..44.0
2447,2447-01-17,148,T,80.3,2.0,98.3,10.03,-157.43,13.53,-149.00,10.0..13.5,-157.4..-149.0
2577,2577-07-16,155,T,88.5,2.0,93.1,1.32,-106.02,-2.56,-96.81,-2.6..1.3,-106.0..-96.8
2956,2956-08-27,160,T,50.1,2.0,183.4,15.80,162.47,13.00,172.83,13.0..15.8,162.5..172.8
2186,2186-07-16,139,T,76.2,2.0,232.0,-12.88,2.46,-16.46,10.90,-16.5..-12.9,2.5..10.9
2498,2498-10-15,161,T,65.5,2.1,174.0,6.69,-28.64,8.00,-18.04,6.7..8.0,-28.6..-18.0
2230,2230-09-07,148,T,82.5,2.1,98.5,-34.13,-92.88,-35.56,-83.99,-35.6..-34.1,-92.9..-84.0
2259,2259-08-19,149,T,77.0,2.1,105.0,2.11,34.27,-0.80,44.66,-0.8..2.1,34.3..44.7
2646,2646-05-07,158,T,74.9,2.1,103.4,-0.84,19.67,-3.58,29.00,-3.6..-0.8,19.7..29.0
2060,2060-04-30,139,T,75.8,2.1,169.4,39.29,92.14,37.17,101.15,37.2..39.3,92.1..101.2
2121,2121-01-19,133,T,65.0,2.1,82.6,-11.50,-161.72,-7.59,-152.97,-11.5..-7.6,-161.7..-153.0
2838,2838-01-17,164,T,87.3,2.2,52.4,-1.84,91.38,1.99,100.59,-1.8..2.0,91.4..100.6
2475,2475-01-08,139,T,29.4,2.2,42.0,-47.65,-107.07,-44.15,-100.71,-47.6..-44.2,-107.1..-100.7
2395,2395-04-20,135,T,34.6,2.2,65.3,-27.06,71.47,-28.16,80.86,-28.2..-27.1,71.5..80.9
2840,2840-05-22,151,T,44.5,2.2,219.8,-23.08,-40.10,-26.00,-31.74,-26.0..-23.1,-40.1..-31.7
2201,2201-04-04,142,T,81.4,2.2,160.9,9.38,139.63,8.72,150.76,8.7..9.4,139.6..150.8
2801,2801-12-26,164,T,86.7,2.2,69.6,-11.23,-4.79,-7.12,4.40,-11.2..-7.1,-4.8..4.4
2176,2176-08-04,148,T,70.5,2.2,91.0,-35.86,-123.67,-38.92,-115.51,-38.9..-35.9,-123.7..-115.5
2161,2161-11-17,145,T,84.3,2.2,67.7,-6.17,75.99,-2.93,85.36,-6.2..-2.9,76.0..85.4
2708,2708-07-10,167,T,56.0,2.2,200.2,33.92,-168.94,30.22,-160.69,30.2..33.9,-168.9..-160.7
2160,2160-06-04,130,T,48.1,2.2,103.1,43.17,6.76,39.96,13.69,40.0..43.2,6.8..13.7
2139,2139-01-30,133,T,64.6,2.2,83.4,-8.36,64.75,-4.42,74.41,-8.4..-4.4,64.7..74.4
2877,2877-06-03,161,T,83.7,2.2,64.1,10.23,-131.69,6.56,-122.59,6.6..10.2,-131.7..-122.6
2041,2041-04-30,129,T,63.2,2.2,27.8,-0.05,54.72,-2.19,64.49,-2.2..-0.0,54.7..64.5
2169,2169-06-25,149,T,54.0,2.3,140.0,40.49,-109.55,37.17,-102.48,37.2..40.5,-109.6..-102.5
2359,2359-03-29,135,T,41.8,2.3,18.6,-19.66,-48.13,-19.23,-37.76,-19.7..-19.2,-48.1..-37.8
2219,2219-04-15,142,T,83.8,2.3,172.6,11.24,19.20,9.83,29.17,9.8..11.2,19.2..29.2
2165,2165-03-12,142,T,77.6,2.3,129.1,4.03,28.74,5.15,39.53,4.0..5.1,28.7..39.5
2782,2782-12-26,154,T,52.5,2.3,126.6,26.25,-10.03,29.76,-2.29,26.2..29.8,-10.0..-2.3
2035,2035-09-02,145,T,67.9,2.3,70.9,7.76,-155.36,5.78,-145.24,5.8..7.8,-155.4..-145.2
2140,2140-07-14,148,T,60.9,2.3,73.6,-36.78,92.31,-39.46,98.02,-39.5..-36.8,92.3..98.0
2609,2609-04-26,148,T,68.5,2.3,171.9,36.49,148.40,34.63,156.77,34.6..36.5,148.4..156.8
2660,2660-02-03,151,T,66.4,2.4,110.7,-5.63,135.23,-1.84,144.96,-5.6..-1.8,135.2..145.0
2144,2144-10-26,155,T,36.2,2.4,165.5,36.08,-33.05,37.75,-24.32,36.1..37.8,-33.1..-24.3
2465,2465-01-27,148,T,80.0,2.4,104.8,14.51,70.02,17.63,78.39,14.5..17.6,70.0..78.4
2779,2779-09-02,157,T,62.0,2.4,174.0,-42.03,-28.39,-43.63,-19.38,-43.6..-42.0,-28.4..-19.4
2830,2830-06-12,160,T,82.0,2.4,136.8,10.31,-143.50,6.22,-134.62,6.2..10.3,-143.5..-134.6
2867,2867-06-23,170,T,62.4,2.4,230.4,-26.95,88.94,-30.28,95.80,-30.3..-27.0,88.9..95.8
2515,2515-11-07,151,T,71.3,2.4,108.7,-32.17,100.90,-29.59,110.14,-32.2..-29.6,100.9..110.1
2462,2462-09-24,161,T,59.7,2.4,192.6,12.83,-143.59,12.42,-133.39,12.4..12.8,-143.6..-133.4
2764,2764-12-15,154,T,53.2,2.5,128.7,21.66,122.73,24.90,130.19,21.7..24.9,122.7..130.2
2044,2044-08-23,126,T,15.4,2.5,110.5,51.15,-113.36,47.98,-106.35,48.0..51.1,-113.4..-106.4
2751,2751-03-19,161,T,77.6,2.5,60.8,40.81,-28.36,41.44,-18.93,40.8..41.4,-28.4..-18.9
2422,2422-05-21,154,T,64.6,2.5,60.4,-13.71,178.16,-16.97,-173.13,-17.0..-13.7,-179.6..179.2
2790,2790-08-03,158,T,72.1,2.5,41.0,0.88,-137.22,-2.91,-127.72,-2.9..0.9,-137.2..-127.7
2978,2978-12-21,167,T,80.4,2.5,54.2,-8.88,-172.87,-4.72,-164.13,-8.9..-4.7,-172.9..-164.1
2911,2911-08-15,179,T,35.2,2.5,133.1,43.47,42.24,40.75,50.75,40.7..43.5,42.2..50.7
2733,2733-03-08,161,T,76.4,2.5,60.3,40.39,94.72,41.75,103.97,40.4..41.8,94.7..104.0
2892,2892-02-19,164,T,88.5,2.5,38.7,10.43,58.42,12.80,67.97,10.4..12.8,58.4..68.0
2431,2431-05-12,135,T,22.5,2.5,110.4,-41.28,-164.98,-42.98,-158.31,-43.0..-41.3,-165.0..-158.3
2678,2678-02-13,151,T,65.9,2.5,118.2,-2.68,3.22,0.50,12.98,-2.7..0.5,3.2..13.0
2932,2932-12-18,176,T,57.5,2.5,91.8,-40.16,-30.35,-36.89,-23.20,-40.2..-36.9,-30.3..-23.2
2529,2529-02-10,139,T,26.7,2.5,32.2,-41.86,-149.98,-38.46,-141.85,-41.9..-38.5,-150.0..-141.8
2736,2736-07-01,158,T,85.8,2.6,77.1,-0.27,-177.49,-4.41,-168.91,-4.4..-0.3,-177.5..-168.9
2959,2959-12-21,157,T,34.6,2.6,100.3,-49.59,-133.41,-46.46,-127.60,-49.6..-46.5,-133.4..-127.6
2418,2418-08-02,152,T,82.9,2.6,101.1,-23.09,-43.30,-26.42,-34.77,-26.4..-23.1,-43.3..-34.8
2794,2794-05-21,160,T,89.5,2.6,108.1,10.56,80.06,7.16,89.14,7.2..10.6,80.1..89.1
2196,2196-06-26,130,T,35.1,2.6,87.0,46.45,157.20,43.48,162.70,43.5..46.5,157.2..162.7
2107,2107-10-16,145,T,79.8,2.6,74.2,-7.50,89.56,-6.25,100.05,-7.5..-6.2,89.6..100.1
2104,2104-06-22,148,T,49.8,2.6,48.3,-38.01,-53.87,-40.51,-48.89,-40.5..-38.0,-53.9..-48.9
2753,2753-07-22,148,T,27.3,2.6,174.7,46.20,-22.01,42.68,-15.29,42.7..46.2,-22.0..-15.3
2895,2895-06-14,161,T,79.6,2.6,59.8,2.60,115.99,-1.12,124.56,-1.1..2.6,116.0..124.6
2587,2587-12-20,151,T,67.6,2.6,95.3,-20.38,-51.43,-16.74,-43.81,-20.4..-16.7,-51.4..-43.8
2180,2180-11-17,155,T,40.3,2.6,148.4,35.24,66.03,37.84,73.47,35.2..37.8,66.0..73.5
2728,2728-11-23,154,T,55.2,2.7,137.9,12.57,23.83,15.41,32.13,12.6..15.4,23.8..32.1
3000,3000-04-26,164,T,82.3,2.7,35.9,23.27,39.47,21.08,49.29,21.1..23.3,39.5..49.3
2993,2993-09-07,170,T,87.7,2.7,183.6,-24.35,27.30,-25.86,36.52,-25.9..-24.4,27.3..36.5
2876,2876-06-13,151,T,32.4,2.7,228.1,-40.42,84.13,-42.90,89.63,-42.9..-40.4,84.1..89.6
2198,2198-11-28,155,T,41.6,2.7,137.4,36.84,-65.36,39.44,-59.16,36.8..39.4,-65.4..-59.2
2765,2765-12-04,164,T,85.4,2.7,90.7,-20.54,-102.99,-17.27,-94.83,-20.5..-17.3,-103.0..-94.8
2184,2184-03-12,152,T,28.5,2.7,120.9,-44.98,36.76,-43.95,45.03,-45.0..-44.0,36.8..45.0
2265,2265-04-16,133,T,52.5,2.7,108.2,-9.00,-99.67,-10.10,-89.69,-10.1..-9.0,-99.7..-89.7
2855,2855-02-08,154,T,50.9,2.7,122.3,46.20,-178.55,48.21,-172.29,46.2..48.2,-178.6..-172.3
2363,2363-07-12,142,T,66.1,2.7,209.0,14.21,-174.07,10.21,-165.68,10.2..14.2,-174.1..-165.7
2837,2837-01-27,154,T,51.4,2.8,120.1,41.55,-47.07,43.72,-41.39,41.5..43.7,-47.1..-41.4
2493,2493-01-18,139,T,28.7,2.8,37.5,-45.32,118.03,-41.84,124.65,-45.3..-41.8,118.0..124.7
2540,2540-07-05,145,T,55.0,2.8,238.4,-28.43,-15.97,-31.32,-9.58,-31.3..-28.4,-16.0..-9.6
2355,2355-06-11,133,T,22.7,2.8,95.7,-47.71,38.14,-49.25,41.54,-49.3..-47.7,38.1..41.5
2456,2456-12-27,139,T,30.2,2.8,48.1,-50.43,27.15,-47.57,32.16,-50.4..-47.6,27.2..32.2
2408,2408-08-22,161,T,47.1,2.9,199.3,30.26,-141.04,27.97,-132.50,28.0..30.3,-141.0..-132.5
2701,2701-11-22,173,T,36.4,2.9,100.1,39.83,133.18,42.03,139.02,39.8..42.0,133.2..139.0
2414,2414-04-20,145,T,82.7,2.9,183.1,20.54,80.02,19.05,89.91,19.1..20.5,80.0..89.9
2631,2631-08-19,155,T,78.3,2.9,47.3,-22.37,-75.84,-24.63,-67.52,-24.6..-22.4,-75.8..-67.5
2547,2547-02-21,139,T,24.8,2.9,30.8,-41.25,78.62,-38.53,86.28,-41.3..-38.5,78.6..86.3
2299,2299-06-28,151,T,67.1,2.9,78.5,28.00,47.37,24.52,54.98,24.5..28.0,47.4..55.0
2556,2556-03-12,158,T,63.4,3.0,90.8,-10.08,-89.18,-9.06,-79.45,-10.1..-9.1,-89.2..-79.5
2674,2674-10-21,154,T,60.8,3.0,150.2,0.95,42.01,2.14,51.49,0.9..2.1,42.0..51.5
2108,2108-10-05,155,T,28.9,3.0,174.9,43.09,-136.31,43.23,-128.23,43.1..43.2,-136.3..-128.2
2077,2077-05-22,129,T,55.0,3.0,73.6,-12.89,-170.81,-15.62,-162.95,-15.6..-12.9,-170.8..-162.9
2450,2450-05-12,145,T,76.6,3.0,208.3,10.34,-157.56,7.72,-148.56,7.7..10.3,-157.6..-148.6
2466,2466-01-17,158,T,60.1,3.0,80.9,-26.98,-148.02,-23.80,-140.52,-27.0..-23.8,-148.0..-140.5
2989,2989-05-26,163,T,75.2,3.0,144.5,4.88,148.19,1.72,156.76,1.7..4.9,148.2..156.8
2126,2126-10-16,155,T,33.1,3.0,171.4,38.71,95.77,39.56,103.94,38.7..39.6,95.8..103.9
2613,2613-08-08,155,T,82.6,3.0,67.0,-14.53,32.87,-17.55,41.84,-17.6..-14.5,32.9..41.8
2088,2088-04-21,130,T,65.4,3.0,118.1,40.40,86.61,38.81,94.68,38.8..40.4,86.6..94.7
2059,2059-05-11,129,T,59.4,3.0,52.1,-5.84,-59.04,-8.37,-50.11,-8.4..-5.8,-59.0..-50.1
2310,2310-05-29,152,T,55.9,3.0,162.8,-24.00,-102.89,-27.03,-95.58,-27.0..-24.0,-102.9..-95.6
2480,2480-10-04,161,T,62.8,3.0,184.8,9.17,94.32,9.55,104.12,9.2..9.6,94.3..104.1
2581,2581-05-04,157,T,72.7,3.0,47.1,41.38,134.86,39.30,142.95,39.3..41.4,134.9..143.0
2725,2725-07-31,157,T,74.9,3.0,171.0,-19.49,-51.81,-22.45,-43.84,-22.5..-19.5,-51.8..-43.8
2071,2071-09-23,145,T,74.7,3.1,75.4,-2.14,-30.10,-2.57,-20.16,-2.6..-2.1,-30.1..-20.2
2432,2432-04-30,145,T,79.8,3.1,196.2,15.91,-39.17,13.82,-29.83,13.8..15.9,-39.2..-29.8
2026,2026-08-12,126,T,25.8,3.1,107.6,42.79,-5.11,39.81,1.76,39.8..42.8,-5.1..1.8
2996,2996-12-31,167,T,79.9,3.1,42.5,-4.99,56.99,-1.01,65.23,-5.0..-1.0,57.0..65.2
2178,2178-06-16,130,T,42.1,3.1,96.1,44.43,-99.33,41.50,-93.60,41.5..44.4,-99.3..-93.6
2551,2551-11-29,151,T,68.9,3.1,99.9,-27.72,-151.27,-24.50,-143.39,-27.7..-24.5,-151.3..-143.4
2429,2429-01-05,148,T,80.5,3.1,94.3,5.31,-24.63,8.60,-17.20,5.3..8.6,-24.6..-17.2
2042,2042-04-20,139,T,72.7,3.1,153.6,44.43,-149.14,43.31,-142.28,43.3..44.4,-149.1..-142.3
2992,2992-09-17,160,T,40.0,3.1,185.1,22.50,-66.99,21.23,-57.94,21.2..22.5,-67.0..-57.9
2565,2565-03-03,139,T,22.4,3.1,30.6,-42.09,-52.09,-39.74,-44.18,-42.1..-39.7,-52.1..-44.2
2665,2665-10-30,173,T,30.8,3.1,103.8,41.80,30.08,43.24,36.82,41.8..43.2,30.1..36.8
2705,2705-03-17,170,T,25.0,3.1,126.6,-48.30,107.92,-47.45,115.67,-48.3..-47.5,107.9..115.7
2392,2392-12-14,148,T,81.2,3.1,92.1,-4.57,-120.86,-0.93,-112.41,-4.6..-0.9,-120.9..-112.4
2168,2168-07-05,139,T,80.5,3.1,229.7,-4.65,116.95,-7.96,124.38,-8.0..-4.6,116.9..124.4
2732,2732-03-18,151,T,62.8,3.2,149.3,0.88,-25.38,1.83,-15.86,0.9..1.8,-25.4..-15.9
2175,2175-02-21,133,T,63.1,3.2,86.4,-3.25,163.31,-0.66,172.46,-3.3..-0.7,163.3..172.5
2429,2429-12-26,158,T,59.5,3.2,87.2,-35.35,120.77,-32.38,127.20,-35.3..-32.4,120.8..127.2
2647,2647-10-20,173,T,26.3,3.2,103.2,45.59,156.98,46.41,163.54,45.6..46.4,157.0..163.5
2920,2920-08-05,160,T,59.8,3.2,176.5,11.76,26.00,8.29,34.79,8.3..11.8,26.0..34.8
2707,2707-07-21,157,T,79.3,3.2,162.5,-11.45,60.56,-14.54,68.03,-14.5..-11.5,60.6..68.0
2795,2795-05-11,170,T,44.4,3.3,210.5,-30.60,-165.85,-32.81,-158.79,-32.8..-30.6,-165.8..-158.8
2874,2874-02-08,164,T,87.9,3.3,42.0,6.62,-171.74,9.39,-163.05,6.6..9.4,-171.7..-163.0
2277,2277-08-29,149,T,80.8,3.3,86.8,-4.56,-78.75,-6.41,-70.03,-6.4..-4.6,-78.7..-70.0
2233,2233-12-31,145,T,86.4,3.3,72.4,7.82,-85.85,11.33,-78.59,7.8..11.3,-85.8..-78.6
2090,2090-09-23,155,T,23.2,3.3,176.6,49.55,-8.55,48.96,-1.09,49.0..49.5,-8.5..-1.1
2487,2487-05-23,155,T,67.4,3.4,112.9,40.54,101.88,37.89,109.13,37.9..40.5,101.9..109.1
2132,2132-06-13,139,Tm,89.1,3.4,216.8,11.53,-13.51,8.32,-6.08,8.3..11.5,-13.5..-6.1
2786,2786-04-20,151,T,56.1,3.4,188.0,-5.85,-39.28,-7.09,-30.31,-7.1..-5.8,-39.3..-30.3
2729,2729-11-13,164,T,83.2,3.4,118.2,-29.99,151.57,-27.53,160.13,-30.0..-27.5,151.6..160.1
2399,2399-08-02,142,T,56.5,3.4,203.7,16.16,-37.29,12.55,-28.70,12.6..16.2,-37.3..-28.7
2393,2393-12-04,158,T,58.5,3.4,99.7,-44.43,27.10,-42.17,32.48,-44.4..-42.2,27.1..32.5
2917,2917-04-12,163,T,86.8,3.4,61.6,25.29,-101.35,24.42,-92.83,24.4..25.3,-101.3..-92.8
2372,2372-07-31,161,T,35.1,3.4,189.6,46.26,103.91,44.02,109.45,44.0..46.3,103.9..109.5
2903,2903-07-16,170,T,71.5,3.4,225.2,-27.11,-135.79,-30.13,-129.26,-30.1..-27.1,-135.8..-129.3
2928,2928-03-13,164,T,89.8,3.4,36.4,16.65,163.11,17.55,172.38,16.7..17.6,163.1..172.4
2166,2166-03-02,152,T,26.0,3.4,112.1,-49.08,170.13,-47.46,177.57,-49.1..-47.5,170.1..177.6
2896,2896-11-26,176,T,55.4,3.4,94.5,-50.23,-128.01,-47.99,-122.27,-50.2..-48.0,-128.0..-122.3
2093,2093-01-27,142,T,73.9,3.4,70.8,-10.61,-171.16,-7.44,-162.87,-10.6..-7.4,-171.2..-162.9
2746,2746-12-04,154,T,54.0,3.4,135.2,16.74,-106.73,19.76,-99.02,16.7..19.8,-106.7..-99.0
2812,2812-05-31,160,Tm,85.9,3.5,124.3,10.60,-32.59,7.07,-24.31,7.1..10.6,-32.6..-24.3
2078,2078-05-11,139,T,79.3,3.5,182.4,33.16,-25.02,31.00,-17.79,31.0..33.2,-25.0..-17.8
2273,2273-05-17,142,Tm,86.9,3.5,200.1,13.87,27.73,11.18,35.32,11.2..13.9,27.7..35.3
2171,2171-10-29,136,T,56.0,3.5,154.6,6.37,-150.96,7.89,-142.14,6.4..7.9,-151.0..-142.1
2519,2519-03-02,148,T,78.1,3.5,131.6,26.37,38.85,27.89,47.45,26.4..27.9,38.9..47.5
2643,2643-01-12,161,T,73.9,3.5,75.8,24.23,19.76,27.17,26.05,24.2..27.2,19.8..26.0
2338,2338-11-12,148,T,83.6,3.5,94.5,-17.67,-92.48,-15.19,-83.59,-17.7..-15.2,-92.5..-83.6
2697,2697-02-13,161,T,74.9,3.5,62.5,35.90,-12.78,38.21,-5.32,35.9..38.2,-12.8..-5.3
2048,2048-12-05,133,T,66.4,3.6,101.9,-27.39,9.61,-24.12,16.96,-27.4..-24.1,9.6..17.0
2570,2570-11-29,161,T,72.0,3.6,118.0,9.01,-174.48,11.90,-167.38,9.0..11.9,-174.5..-167.4
2787,2787-04-10,161,T,81.1,3.6,63.2,37.48,90.32,36.81,98.21,36.8..37.5,90.3..98.2
2744,2744-07-31,167,T,65.7,3.6,209.9,18.11,-44.41,15.02,-36.23,15.0..18.1,-44.4..-36.2
2081,2081-09-03,136,T,70.1,3.6,198.2,-5.91,96.35,-7.73,104.80,-7.7..-5.9,96.4..104.8
2270,2270-01-22,145,T,86.9,3.6,85.2,16.18,9.12,19.42,16.56,16.2..19.4,9.1..16.6
2030,2030-11-25,133,T,67.0,3.6,111.4,-30.83,139.74,-27.81,147.44,-30.8..-27.8,139.7..147.4
2682,2682-05-29,158,T,81.9,3.6,99.4,0.21,150.90,-3.12,158.93,-3.1..0.2,150.9..158.9
2938,2938-08-16,160,T,55.1,3.7,179.8,13.32,-85.19,10.45,-76.81,10.5..13.3,-85.2..-76.8
2710,2710-11-13,154,T,56.6,3.7,142.1,8.48,152.23,10.58,159.90,8.5..10.6,152.2..159.9
2866,2866-07-03,160,T,73.6,3.7,157.2,9.94,-4.02,6.14,3.77,6.1..9.9,-4.0..3.8
2068,2068-05-31,148,T,36.9,3.7,10.6,-42.16,161.88,-43.86,165.68,-43.9..-42.2,161.9..165.7
2522,2522-06-25,145,T,60.0,3.7,240.6,-19.28,97.89,-22.36,104.71,-22.4..-19.3,97.9..104.7
2331,2331-10-02,149,T,89.4,3.7,23.9,-18.47,-62.75,-18.30,-53.70,-18.5..-18.3,-62.8..-53.7
2337,2337-05-31,133,T,31.8,3.7,106.3,-36.36,153.08,-38.45,158.61,-38.5..-36.4,153.1..158.6
2453,2453-09-03,142,T,41.0,3.7,185.9,23.47,-17.53,21.32,-8.98,21.3..23.5,-17.5..-9.0
2266,2266-09-29,148,T,88.6,3.7,100.6,-30.34,36.25,-30.54,45.08,-30.5..-30.3,36.2..45.1
2610,2610-04-15,158,T,69.2,3.7,103.4,-3.15,-103.92,-4.43,-94.69,-4.4..-3.2,-103.9..-94.7
2377,2377-04-09,135,T,38.7,3.7,41.4,-22.57,-169.14,-22.81,-160.82,-22.8..-22.5,-169.1..-160.8
2595,2595-07-28,155,T,87.0,3.8,81.8,-6.63,143.01,-9.79,151.10,-9.8..-6.6,143.0..151.1
2584,2584-08-26,154,T,76.8,3.8,151.2,-10.91,-90.43,-13.12,-81.93,-13.1..-10.9,-90.4..-81.9
2822,2822-05-12,151,T,48.9,3.8,210.4,-16.29,79.30,-18.36,86.65,-18.4..-16.3,79.3..86.6
2914,2914-12-08,176,T,56.6,3.8,92.1,-44.87,102.19,-42.69,107.21,-44.9..-42.7,102.2..107.2
2737,2737-12-13,173,T,39.5,3.8,96.6,42.88,-129.50,44.87,-125.50,42.9..44.9,-129.5..-125.5
2950,2950-12-30,176,T,58.1,3.8,92.3,-35.42,-163.51,-32.66,-157.54,-35.4..-32.7,-163.5..-157.5
2346,2346-06-20,152,T,65.0,3.8,149.0,-23.16,33.13,-25.93,38.86,-25.9..-23.2,33.1..38.9
2563,2563-04-24,157,T,69.5,3.8,25.0,46.78,-108.92,45.63,-102.69,45.6..46.8,-108.9..-102.7
2699,2699-06-19,148,T,48.1,3.8,182.8,37.85,-56.92,35.12,-51.47,35.1..37.9,-56.9..-51.5
2038,2038-12-26,142,T,73.0,3.8,44.4,-23.73,-132.04,-20.50,-124.92,-23.7..-20.5,-132.0..-124.9
2216,2216-12-10,155,T,42.4,3.8,127.7,39.47,161.49,41.41,165.57,39.5..41.4,161.5..165.6
2316,2316-01-25,136,T,49.1,3.8,68.9,41.96,-119.99,43.88,-115.28,42.0..43.9,-120.0..-115.3
2759,2759-04-19,170,T,35.9,3.8,182.0,-36.19,78.99,-37.30,86.52,-37.3..-36.2,79.0..86.5
2693,2693-10-21,164,T,79.6,3.8,144.5,-38.09,38.85,-36.98,46.63,-38.1..-37.0,38.8..46.6
2848,2848-06-22,160,T,77.9,3.8,146.0,9.63,106.80,6.37,113.56,6.4..9.6,106.8..113.6
2723,2723-03-28,170,T,28.4,3.8,144.9,-43.99,-24.51,-43.79,-17.22,-44.0..-43.8,-24.5..-17.2
2679,2679-02-03,161,T,74.4,3.9,65.7,32.35,116.74,34.91,123.50,32.3..34.9,116.7..123.5
2066,2066-12-17,133,T,65.9,3.9,94.1,-23.48,-122.26,-20.20,-115.40,-23.5..-20.2,-122.3..-115.4
2533,2533-11-17,151,T,69.9,3.9,104.5,-30.53,-24.26,-27.84,-16.51,-30.5..-27.8,-24.3..-16.5
2150,2150-06-25,139,T,84.9,3.9,224.9,3.61,-128.75,0.49,-121.78,0.5..3.6,-128.7..-121.8
2639,2639-09-19,164,T,71.2,3.9,182.7,-47.09,31.51,-47.66,38.32,-47.7..-47.1,31.5..38.3
2131,2131-06-25,129,T,38.4,3.9,125.5,-38.84,-146.76,-40.58,-143.08,-40.6..-38.8,-146.8..-143.1
2801,2801-01-06,154,T,52.1,3.9,123.3,31.23,-142.83,33.80,-137.18,31.2..33.8,-142.8..-137.2
2569,2569-12-09,151,T,68.1,3.9,97.4,-24.44,79.41,-21.25,86.43,-24.4..-21.3,79.4..86.4
2516,2516-10-27,161,T,67.7,3.9,160.3,5.52,-152.52,7.16,-144.35,5.5..7.2,-152.5..-144.4
2512,2512-07-14,154,T,86.5,3.9,130.6,-12.80,-9.64,-16.06,-2.66,-16.1..-12.8,-9.6..-2.7
2754,2754-07-12,158,T,81.3,3.9,66.8,-0.19,75.39,-3.82,82.99,-3.8..-0.2,75.4..83.0
2974,2974-09-07,160,T,45.1,3.9,185.4,18.82,48.22,16.93,56.88,16.9..18.8,48.2..56.9
2625,2625-01-01,161,T,73.6,4.0,83.4,19.95,152.03,22.77,157.83,20.0..22.8,152.0..157.8
2103,2103-01-08,133,T,65.3,4.0,85.7,-15.69,-29.07,-12.03,-21.60,-15.7..-12.0,-29.1..-21.6
2187,2187-07-06,149,T,59.0,4.0,137.3,32.16,133.74,29.57,139.40,29.6..32.2,133.7..139.4
2298,2298-01-13,136,T,49.5,4.0,74.6,37.12,12.53,39.02,16.81,37.1..39.0,12.5..16.8
2129,2129-02-18,142,T,75.2,4.0,96.7,-2.64,-73.82,-0.53,-65.68,-2.6..-0.5,-73.8..-65.7
2735,2735-07-12,148,T,35.6,4.0,179.3,41.93,84.64,38.97,90.18,39.0..41.9,84.6..90.2
2921,2921-07-26,170,T,75.9,4.0,219.6,-27.19,113.17,-29.89,119.49,-29.9..-27.2,113.2..119.5
2125,2125-10-26,145,T,81.6,4.0,71.2,-8.20,-32.69,-6.55,-24.36,-8.2..-6.6,-32.7..-24.4
2086,2086-06-11,148,T,43.7,4.1,31.5,-39.34,53.12,-41.21,56.93,-41.2..-39.3,53.1..56.9
2805,2805-04-20,161,T,83.4,4.1,64.4,33.87,-28.37,32.73,-21.28,32.7..33.9,-28.4..-21.3
2852,2852-10-04,167,Tm,88.3,4.1,167.2,-16.17,-24.95,-15.77,-16.04,-16.2..-15.8,-25.0..-16.0
2440,2440-05-31,154,T,68.9,4.1,78.9,-13.02,67.45,-15.83,74.03,-15.8..-13.0,67.4..74.0
2378,2378-03-29,145,T,87.3,4.1,154.3,26.29,-36.72,26.36,-28.37,26.3..26.4,-36.7..-28.4
2530,2530-07-25,154,T,89.2,4.1,137.8,-12.86,-118.41,-15.88,-111.43,-15.9..-12.9,-118.4..-111.4
2205,2205-07-17,149,T,63.9,4.1,133.8,24.33,17.63,21.43,24.33,21.4..24.3,17.6..24.3
2390,2390-08-11,161,T,41.6,4.1,196.2,37.96,-19.80,35.76,-13.36,35.8..38.0,-19.8..-13.4
2084,2084-12-27,133,T,65.6,4.1,88.3,-19.35,104.96,-16.15,111.46,-19.4..-16.1,105.0..111.5
2929,2929-08-25,179,T,41.9,4.1,142.5,34.84,-77.98,32.96,-70.59,33.0..34.8,-78.0..-70.6
2884,2884-07-14,160,T,69.2,4.1,164.9,10.05,-113.59,6.53,-106.16,6.5..10.1,-113.6..-106.2
2661,2661-01-22,161,T,74.1,4.1,70.0,28.33,-112.38,31.02,-106.21,28.3..31.0,-112.4..-106.2
2910,2910-03-02,164,T,89.2,4.1,37.5,13.69,-70.51,15.22,-61.97,13.7..15.2,-70.5..-62.0
