rank,calendar_date,eclipse_count,cumulative_duration,cumulative_secs,avg_duration,avg_secs
97,Nov 13,12,38m49.40s,2329.4,3m14.12s,194.1
98,Aug 26,9,38m43.60s,2323.6,4m18.18s,258.2
99,Sep 3,10,38m34.30s,2314.3,3m51.43s,231.4
100,Sep 9,10,38m33.80s,2313.8,3m51.38s,231.4
101,Mar 15,11,38m18.60s,2298.6,3m28.96s,209.0
102,Jul 18,10,38m17.90s,2297.9,3m49.79s,229.8
103,Mar 29,10,38m08.30s,2288.3,3m48.83s,228.8
104,Aug 24,10,37m56.70s,2276.7,3m47.67s,227.7
105,Jul 8,8,37m40.90s,2260.9,4m42.61s,282.6
106,Jul 11,7,37m17.30s,2237.3,5m19.61s,319.6
107,Aug 28,10,36m49.90s,2209.9,3m40.99s,221.0
108,Sep 13,9,36m46.40s,2206.4,4m05.16s,245.2
109,Sep 24,9,36m45.20s,2205.2,4m05.02s,245.0
110,Jul 9,9,36m40.60s,2200.6,4m04.51s,244.5
111,Apr 29,9,36m34.60s,2194.6,4m03.84s,243.8
112,Apr 11,10,36m32.00s,2192.0,3m39.20s,219.2
113,Mar 9,11,36m24.30s,2184.3,3m18.57s,198.6
114,Jan 27,11,36m17.70s,2177.7,3m17.97s,198.0
115,Feb 14,10,36m14.50s,2174.5,3m37.45s,217.4
116,Oct 1,11,36m06.10s,2166.1,3m16.92s,196.9
117,Feb 19,11,35m54.00s,2154.0,3m15.82s,195.8
118,Jun 5,7,35m39.60s,2139.6,5m05.66s,305.7
119,Aug 18,9,35m29.10s,2129.1,3m56.57s,236.6
120,Jun 18,9,35m28.40s,2128.4,3m56.49s,236.5
121,May 21,8,35m17.60s,2117.6,4m24.70s,264.7
122,Jul 13,8,35m17.50s,2117.5,4m24.69s,264.7
123,Dec 26,11,35m15.70s,2115.7,3m12.34s,192.3
124,Jan 17,10,35m00.00s,2100.0,3m30.00s,210.0
125,Sep 21,10,34m53.80s,2093.8,3m29.38s,209.4
126,Mar 21,10,34m43.80s,2083.8,3m28.38s,208.4
127,Feb 18,10,34m43.80s,2083.8,3m28.38s,208.4
128,Oct 23,12,34m42.20s,2082.2,2m53.52s,173.5
129,Jul 26,8,34m41.60s,2081.6,4m20.20s,260.2
130,Sep 15,10,34m29.80s,2069.8,3m26.98s,207.0
131,Feb 15,11,34m29.60s,2069.6,3m08.15s,188.1
132,Oct 4,9,34m29.10s,2069.1,3m49.90s,229.9
133,Aug 15,9,34m26.90s,2066.9,3m49.66s,229.7
134,May 6,9,34m25.00s,2065.0,3m49.44s,229.4
135,Feb 25,10,34m16.20s,2056.2,3m25.62s,205.6
136,Aug 20,9,34m01.80s,2041.8,3m46.87s,226.9
137,Apr 2,8,33m51.00s,2031.0,4m13.88s,253.9
138,Apr 23,7,33m45.10s,2025.1,4m49.30s,289.3
139,Apr 18,10,33m38.70s,2018.7,3m21.87s,201.9
140,Jun 21,8,33m27.60s,2007.6,4m10.95s,250.9
141,Sep 6,9,33m24.40s,2004.4,3m42.71s,222.7
142,Aug 11,9,32m57.40s,1977.4,3m39.71s,219.7
143,Oct 7,11,32m55.00s,1975.0,2m59.55s,179.5
144,Oct 11,10,32m48.60s,1968.6,3m16.86s,196.9
145,Aug 4,7,32m45.50s,1965.5,4m40.79s,280.8
146,Nov 24,11,32m43.30s,1963.3,2m58.48s,178.5
147,Mar 1,9,32m42.70s,1962.7,3m38.08s,218.1
148,May 31,10,32m38.80s,1958.8,3m15.88s,195.9
149,Mar 25,10,32m29.00s,1949.0,3m14.90s,194.9
150,Dec 9,10,32m23.80s,1943.8,3m14.38s,194.4
151,Aug 13,9,32m22.40s,1942.4,3m35.82s,215.8
152,Sep 16,9,32m17.30s,1937.3,3m35.26s,215.3
153,Aug 3,11,32m12.80s,1932.8,2m55.71s,175.7
154,Jun 4,8,31m55.30s,1915.3,3m59.41s,239.4
155,May 17,8,31m52.20s,1912.2,3m59.02s,239.0
156,Jun 27,6,31m50.60s,1910.6,5m18.43s,318.4
157,Mar 2,10,31m49.70s,1909.7,3m10.97s,191.0
158,Feb 26,8,31m47.80s,1907.8,3m58.47s,238.5
159,Jan 30,11,31m47.60s,1907.6,2m53.42s,173.4
160,Mar 19,9,31m22.00s,1882.0,3m29.11s,209.1
161,Aug 6,7,31m21.20s,1881.2,4m28.74s,268.7
162,Jul 6,9,31m19.10s,1879.1,3m28.79s,208.8
163,Aug 8,8,31m17.50s,1877.5,3m54.69s,234.7
164,Mar 27,9,31m15.00s,1875.0,3m28.33s,208.3
165,Sep 25,10,30m59.60s,1859.6,3m05.96s,186.0
166,Jul 15,6,30m58.00s,1858.0,5m09.67s,309.7
167,Dec 5,11,30m54.60s,1854.6,2m48.60s,168.6
168,Oct 16,8,30m43.50s,1843.5,3m50.44s,230.4
169,Oct 29,11,30m36.00s,1836.0,2m46.91s,166.9
170,Jun 14,7,30m29.30s,1829.3,4m21.33s,261.3
171,Sep 4,9,30m26.00s,1826.0,3m22.89s,202.9
172,Dec 12,10,30m18.60s,1818.6,3m01.86s,181.9
173,Jan 22,10,30m03.90s,1803.9,3m00.39s,180.4
174,Nov 7,8,29m59.50s,1799.5,3m44.94s,224.9
175,Sep 19,8,29m58.20s,1798.2,3m44.78s,224.8
176,Oct 5,9,29m48.60s,1788.6,3m18.73s,198.7
177,May 20,8,29m48.00s,1788.0,3m43.50s,223.5
178,Jul 23,8,29m46.50s,1786.5,3m43.31s,223.3
179,Feb 3,11,29m44.00s,1784.0,2m42.18s,162.2
180,Dec 4,9,29m42.40s,1782.4,3m18.04s,198.0
181,May 5,7,29m36.30s,1776.3,4m13.76s,253.8
182,Mar 20,9,29m35.60s,1775.6,3m17.29s,197.3
183,Dec 31,10,29m26.90s,1766.9,2m56.69s,176.7
184,Nov 20,10,29m22.00s,1762.0,2m56.20s,176.2
185,May 11,7,28m43.90s,1723.9,4m06.27s,246.3
186,May 30,6,28m42.40s,1722.4,4m47.07s,287.1
187,May 8,6,28m39.50s,1719.5,4m46.58s,286.6
188,Oct 12,9,28m35.90s,1715.9,3m10.66s,190.7
189,Apr 8,8,28m34.10s,1714.1,3m34.26s,214.3
190,Jan 24,8,28m26.80s,1706.8,3m33.35s,213.4
191,Mar 26,8,28m21.40s,1701.4,3m32.68s,212.7
192,Mar 4,7,28m19.40s,1699.4,4m02.77s,242.8
193,Oct 22,9,28m17.50s,1697.5,3m08.61s,188.6
194,Apr 1,8,28m14.80s,1694.8,3m31.85s,211.9
195,Aug 9,8,28m09.50s,1689.5,3m31.19s,211.2
196,Jun 29,8,28m09.20s,1689.2,3m31.15s,211.2
197,Jan 3,9,28m01.20s,1681.2,3m06.80s,186.8
198,Aug 10,6,27m59.20s,1679.2,4m39.87s,279.9
199,Nov 2,10,27m52.50s,1672.5,2m47.25s,167.2
200,Feb 21,9,27m49.90s,1669.9,3m05.54s,185.5
201,Sep 28,8,27m46.00s,1666.0,3m28.25s,208.2
202,Jan 28,8,27m44.90s,1664.9,3m28.11s,208.1
203,Feb 10,9,27m37.10s,1657.1,3m04.12s,184.1
204,Aug 31,9,27m34.00s,1654.0,3m03.78s,183.8
205,Jan 12,10,27m21.50s,1641.5,2m44.15s,164.1
206,Jan 18,9,27m06.10s,1626.1,3m00.68s,180.7
207,Sep 20,8,27m00.90s,1620.9,3m22.61s,202.6
208,Jan 21,8,26m55.50s,1615.5,3m21.94s,201.9
209,Apr 13,6,26m49.30s,1609.3,4m28.22s,268.2
210,Oct 17,9,26m38.10s,1598.1,2m57.57s,177.6
211,Jun 10,6,26m34.30s,1594.3,4m25.72s,265.7
212,Sep 29,8,26m33.20s,1593.2,3m19.15s,199.2
213,Feb 22,7,26m22.80s,1582.8,3m46.11s,226.1
214,Jul 24,6,26m12.40s,1572.4,4m22.07s,262.1
215,Mar 11,6,26m08.20s,1568.2,4m21.37s,261.4
216,Dec 22,10,25m56.90s,1556.9,2m35.69s,155.7
217,Feb 4,7,25m55.50s,1555.5,3m42.21s,222.2
218,Mar 28,7,25m55.00s,1555.0,3m42.14s,222.1
219,Aug 30,7,25m52.70s,1552.7,3m41.81s,221.8
220,Mar 22,6,25m45.50s,1545.5,4m17.58s,257.6
221,Dec 27,9,25m37.40s,1537.4,2m50.82s,170.8
222,Mar 6,7,25m35.10s,1535.1,3m39.30s,219.3
223,Apr 14,7,25m34.40s,1534.4,3m39.20s,219.2
224,Oct 8,8,25m33.90s,1533.9,3m11.74s,191.7
225,Sep 14,8,25m31.80s,1531.8,3m11.47s,191.5
226,Nov 23,8,25m28.40s,1528.4,3m11.05s,191.1
227,Jan 2,8,25m22.10s,1522.1,3m10.26s,190.3
228,Mar 3,9,25m20.00s,1520.0,2m48.89s,168.9
229,Apr 17,6,25m18.80s,1518.8,4m13.13s,253.1
230,Apr 26,6,25m15.20s,1515.2,4m12.53s,252.5
231,Aug 25,8,25m11.00s,1511.0,3m08.88s,188.9
232,Mar 5,7,25m09.40s,1509.4,3m35.63s,215.6
233,Dec 15,8,25m06.40s,1506.4,3m08.30s,188.3
234,Apr 7,7,25m05.30s,1505.3,3m35.04s,215.0
235,Sep 12,7,25m02.70s,1502.7,3m34.67s,214.7
236,Dec 16,8,24m57.20s,1497.2,3m07.15s,187.2
237,Jan 25,8,24m46.70s,1486.7,3m05.84s,185.8
238,Nov 29,8,24m46.20s,1486.2,3m05.78s,185.8
239,Jan 14,8,24m44.70s,1484.7,3m05.59s,185.6
240,Oct 30,8,24m38.00s,1478.0,3m04.75s,184.8
241,Apr 19,6,24m36.30s,1476.3,4m06.05s,246.0
242,Feb 12,8,24m21.60s,1461.6,3m02.70s,182.7
243,Aug 27,7,24m13.00s,1453.0,3m27.57s,207.6
244,Oct 27,8,24m09.30s,1449.3,3m01.16s,181.2
245,Feb 28,7,24m08.40s,1448.4,3m26.91s,206.9
246,Mar 16,6,24m06.10s,1446.1,4m01.02s,241.0
247,Sep 26,7,24m03.50s,1443.5,3m26.21s,206.2
248,Oct 2,8,24m02.10s,1442.1,3m00.26s,180.3
249,Sep 17,6,23m58.50s,1438.5,3m59.75s,239.8
250,Sep 8,6,23m45.50s,1425.5,3m57.58s,237.6
251,Jul 20,8,23m40.80s,1420.8,2m57.60s,177.6
252,Dec 18,9,23m40.40s,1420.4,2m37.82s,157.8
253,Jan 8,9,23m32.30s,1412.3,2m36.92s,156.9
254,Jun 17,6,23m32.00s,1412.0,3m55.33s,235.3
255,Apr 22,7,23m08.30s,1388.3,3m18.33s,198.3
256,Dec 21,8,23m07.40s,1387.4,2m53.43s,173.4
257,Sep 27,7,23m06.00s,1386.0,3m18.00s,198.0
258,Feb 24,7,23m04.40s,1384.4,3m17.77s,197.8
259,Jan 20,7,22m47.50s,1367.5,3m15.36s,195.4
260,Nov 3,8,22m40.20s,1360.2,2m50.02s,170.0
261,Feb 9,7,22m38.60s,1358.6,3m14.09s,194.1
262,Oct 15,6,22m36.30s,1356.3,3m46.05s,226.0
263,Dec 30,7,22m28.00s,1348.0,3m12.57s,192.6
